Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationality,Points
2013,15,1,vettel,Sebastian,Vettel,German,297
2013,15,2,alonso,Fernando,Alonso,Spanish,207
2013,15,3,raikkonen,Kimi,Räikkönen,Finnish,177
2013,15,4,hamilton,Lewis,Hamilton,British,161
2013,15,5,webber,Mark,Webber,Australian,148
2013,15,6,rosberg,Nico,Rosberg,German,126
2013,15,7,massa,Felipe,Massa,Brazilian,90
2013,15,8,grosjean,Romain,Grosjean,French,87
2013,15,9,button,Jenson,Button,British,60
2013,15,10,hulkenberg,Nico,Hülkenberg,German,39
2013,15,11,resta,Paul,di Resta,British,36
2013,15,12,sutil,Adrian,Sutil,German,26
2013,15,13,perez,Sergio,Pérez,Mexican,23
2013,15,14,ricciardo,Daniel,Ricciardo,Australian,18
2013,15,15,vergne,Jean-Éric,Vergne,French,13
2013,15,16,gutierrez,Esteban,Gutiérrez,Mexican,6
2013,15,17,maldonado,Pastor,Maldonado,Venezuelan,1
2013,15,18,bottas,Valtteri,Bottas,Finnish,0
2013,15,19,jules_bianchi,Jules,Bianchi,French,0
2013,15,20,pic,Charles,Pic,French,0
2013,15,21,garde,Giedo,van der Garde,Dutch,0
2013,15,22,chilton,Max,Chilton,British,0
2013,12,1,vettel,Sebastian,Vettel,German,222
2013,12,2,alonso,Fernando,Alonso,Spanish,169
2013,12,3,hamilton,Lewis,Hamilton,British,141
2013,12,4,raikkonen,Kimi,Räikkönen,Finnish,134
2013,12,5,webber,Mark,Webber,Australian,130
2013,12,6,rosberg,Nico,Rosberg,German,104
2013,12,7,massa,Felipe,Massa,Brazilian,79
2013,12,8,grosjean,Romain,Grosjean,French,57
2013,12,9,button,Jenson,Button,British,48
2013,12,10,resta,Paul,di Resta,British,36
2013,12,11,sutil,Adrian,Sutil,German,25
2013,12,12,perez,Sergio,Pérez,Mexican,18
2013,12,13,ricciardo,Daniel,Ricciardo,Australian,18
2013,12,14,hulkenberg,Nico,Hülkenberg,German,17
2013,12,15,vergne,Jean-Éric,Vergne,French,13
2013,12,16,maldonado,Pastor,Maldonado,Venezuelan,1
2013,12,17,bottas,Valtteri,Bottas,Finnish,0
2013,12,18,gutierrez,Esteban,Gutiérrez,Mexican,0
2013,12,19,jules_bianchi,Jules,Bianchi,French,0
2013,12,20,pic,Charles,Pic,French,0
2013,12,21,garde,Giedo,van der Garde,Dutch,0
2013,12,22,chilton,Max,Chilton,British,0
2013,13,1,vettel,Sebastian,Vettel,German,247
2013,13,2,alonso,Fernando,Alonso,Spanish,187
2013,13,3,hamilton,Lewis,Hamilton,British,151
2013,13,4,raikkonen,Kimi,Räikkönen,Finnish,149
2013,13,5,webber,Mark,Webber,Australian,130
2013,13,6,rosberg,Nico,Rosberg,German,116
2013,13,7,massa,Felipe,Massa,Brazilian,87
2013,13,8,grosjean,Romain,Grosjean,French,57
2013,13,9,button,Jenson,Button,British,54
2013,13,10,resta,Paul,di Resta,British,36
2013,13,11,sutil,Adrian,Sutil,German,26
2013,13,12,perez,Sergio,Pérez,Mexican,22
2013,13,13,hulkenberg,Nico,Hülkenberg,German,19
2013,13,14,ricciardo,Daniel,Ricciardo,Australian,18
2013,13,15,vergne,Jean-Éric,Vergne,French,13
2013,13,16,maldonado,Pastor,Maldonado,Venezuelan,1
2013,13,17,gutierrez,Esteban,Gutiérrez,Mexican,0
2013,13,18,bottas,Valtteri,Bottas,Finnish,0
2013,13,19,jules_bianchi,Jules,Bianchi,French,0
2013,13,20,pic,Charles,Pic,French,0
2013,13,21,garde,Giedo,van der Garde,Dutch,0
2013,13,22,chilton,Max,Chilton,British,0
2013,14,1,vettel,Sebastian,Vettel,German,272
2013,14,2,alonso,Fernando,Alonso,Spanish,195
2013,14,3,raikkonen,Kimi,Räikkönen,Finnish,167
2013,14,4,hamilton,Lewis,Hamilton,British,161
2013,14,5,webber,Mark,Webber,Australian,130
2013,14,6,rosberg,Nico,Rosberg,German,122
2013,14,7,massa,Felipe,Massa,Brazilian,89
2013,14,8,grosjean,Romain,Grosjean,French,72
2013,14,9,button,Jenson,Button,British,58
2013,14,10,resta,Paul,di Resta,British,36
2013,14,11,hulkenberg,Nico,Hülkenberg,German,31
2013,14,12,sutil,Adrian,Sutil,German,26
2013,14,13,perez,Sergio,Pérez,Mexican,23
2013,14,14,ricciardo,Daniel,Ricciardo,Australian,18
2013,14,15,vergne,Jean-Éric,Vergne,French,13
2013,14,16,maldonado,Pastor,Maldonado,Venezuelan,1
2013,14,17,gutierrez,Esteban,Gutiérrez,Mexican,0
2013,14,18,bottas,Valtteri,Bottas,Finnish,0
2013,14,19,jules_bianchi,Jules,Bianchi,French,0
2013,14,20,pic,Charles,Pic,French,0
2013,14,21,garde,Giedo,van der Garde,Dutch,0
2013,14,22,chilton,Max,Chilton,British,0
2013,8,1,vettel,Sebastian,Vettel,German,132
2013,8,2,alonso,Fernando,Alonso,Spanish,111
2013,8,3,raikkonen,Kimi,Räikkönen,Finnish,98
2013,8,4,hamilton,Lewis,Hamilton,British,89
2013,8,5,webber,Mark,Webber,Australian,87
2013,8,6,rosberg,Nico,Rosberg,German,82
2013,8,7,massa,Felipe,Massa,Brazilian,57
2013,8,8,resta,Paul,di Resta,British,36
2013,8,9,grosjean,Romain,Grosjean,French,26
2013,8,10,button,Jenson,Button,British,25
2013,8,11,sutil,Adrian,Sutil,German,23
2013,8,12,vergne,Jean-Éric,Vergne,French,13
2013,8,13,perez,Sergio,Pérez,Mexican,12
2013,8,14,ricciardo,Daniel,Ricciardo,Australian,11
2013,8,15,hulkenberg,Nico,Hülkenberg,German,6
2013,8,16,maldonado,Pastor,Maldonado,Venezuelan,0
2013,8,17,bottas,Valtteri,Bottas,Finnish,0
2013,8,18,gutierrez,Esteban,Gutiérrez,Mexican,0
2013,8,19,jules_bianchi,Jules,Bianchi,French,0
2013,8,20,pic,Charles,Pic,French,0
2013,8,21,chilton,Max,Chilton,British,0
2013,8,22,garde,Giedo,van der Garde,Dutch,0
2013,6,1,vettel,Sebastian,Vettel,German,107
2013,6,2,raikkonen,Kimi,Räikkönen,Finnish,86
2013,6,3,alonso,Fernando,Alonso,Spanish,78
2013,6,4,hamilton,Lewis,Hamilton,British,62
2013,6,5,webber,Mark,Webber,Australian,57
2013,6,6,rosberg,Nico,Rosberg,German,47
2013,6,7,massa,Felipe,Massa,Brazilian,45
2013,6,8,resta,Paul,di Resta,British,28
2013,6,9,grosjean,Romain,Grosjean,French,26
2013,6,10,button,Jenson,Button,British,25
2013,6,11,sutil,Adrian,Sutil,German,16
2013,6,12,perez,Sergio,Pérez,Mexican,12
2013,6,13,ricciardo,Daniel,Ricciardo,Australian,7
2013,6,14,hulkenberg,Nico,Hülkenberg,German,5
2013,6,15,vergne,Jean-Éric,Vergne,French,5
2013,6,16,gutierrez,Esteban,Gutiérrez,Mexican,0
2013,6,17,bottas,Valtteri,Bottas,Finnish,0
2013,6,18,maldonado,Pastor,Maldonado,Venezuelan,0
2013,6,19,jules_bianchi,Jules,Bianchi,French,0
2013,6,20,pic,Charles,Pic,French,0
2013,6,21,chilton,Max,Chilton,British,0
2013,6,22,garde,Giedo,van der Garde,Dutch,0
2013,1,1,raikkonen,Kimi,Räikkönen,Finnish,25
2013,1,2,alonso,Fernando,Alonso,Spanish,18
2013,1,3,vettel,Sebastian,Vettel,German,15
2013,1,4,massa,Felipe,Massa,Brazilian,12
2013,1,5,hamilton,Lewis,Hamilton,British,10
2013,1,6,webber,Mark,Webber,Australian,8
2013,1,7,sutil,Adrian,Sutil,German,6
2013,1,8,resta,Paul,di Resta,British,4
2013,1,9,button,Jenson,Button,British,2
2013,1,10,grosjean,Romain,Grosjean,French,1
2013,1,11,perez,Sergio,Pérez,Mexican,0
2013,1,12,vergne,Jean-Éric,Vergne,French,0
2013,1,13,gutierrez,Esteban,Gutiérrez,Mexican,0
2013,1,14,bottas,Valtteri,Bottas,Finnish,0
2013,1,15,jules_bianchi,Jules,Bianchi,French,0
2013,1,16,pic,Charles,Pic,French,0
2013,1,17,chilton,Max,Chilton,British,0
2013,1,18,garde,Giedo,van der Garde,Dutch,0
2013,1,19,ricciardo,Daniel,Ricciardo,Australian,0
2013,1,20,rosberg,Nico,Rosberg,German,0
2013,1,21,maldonado,Pastor,Maldonado,Venezuelan,0
2013,1,22,hulkenberg,Nico,Hülkenberg,German,0
2013,7,1,vettel,Sebastian,Vettel,German,132
2013,7,2,alonso,Fernando,Alonso,Spanish,96
2013,7,3,raikkonen,Kimi,Räikkönen,Finnish,88
2013,7,4,hamilton,Lewis,Hamilton,British,77
2013,7,5,webber,Mark,Webber,Australian,69
2013,7,6,rosberg,Nico,Rosberg,German,57
2013,7,7,massa,Felipe,Massa,Brazilian,49
2013,7,8,resta,Paul,di Resta,British,34
2013,7,9,grosjean,Romain,Grosjean,French,26
2013,7,10,button,Jenson,Button,British,25
2013,7,11,sutil,Adrian,Sutil,German,17
2013,7,12,vergne,Jean-Éric,Vergne,French,13
2013,7,13,perez,Sergio,Pérez,Mexican,12
2013,7,14,ricciardo,Daniel,Ricciardo,Australian,7
2013,7,15,hulkenberg,Nico,Hülkenberg,German,5
2013,7,16,gutierrez,Esteban,Gutiérrez,Mexican,0
2013,7,17,bottas,Valtteri,Bottas,Finnish,0
2013,7,18,maldonado,Pastor,Maldonado,Venezuelan,0
2013,7,19,jules_bianchi,Jules,Bianchi,French,0
2013,7,20,pic,Charles,Pic,French,0
2013,7,21,chilton,Max,Chilton,British,0
2013,7,22,garde,Giedo,van der Garde,Dutch,0
2013,9,1,vettel,Sebastian,Vettel,German,157
2013,9,2,alonso,Fernando,Alonso,Spanish,123
2013,9,3,raikkonen,Kimi,Räikkönen,Finnish,116
2013,9,4,hamilton,Lewis,Hamilton,British,99
2013,9,5,webber,Mark,Webber,Australian,93
2013,9,6,rosberg,Nico,Rosberg,German,84
2013,9,7,massa,Felipe,Massa,Brazilian,57
2013,9,8,grosjean,Romain,Grosjean,French,41
2013,9,9,resta,Paul,di Resta,British,36
2013,9,10,button,Jenson,Button,British,33
