Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2000,1,Australian Grand Prix,3,1,MSC,Michael,Schumacher,German,10,Finished,1:34:01.987,Ferrari
2000,1,Australian Grand Prix,4,2,BAR,Rubens,Barrichello,Brazilian,6,Finished,+11.415,Ferrari
2000,1,Australian Grand Prix,11,3,SCH,Ralf,Schumacher,German,4,Finished,+20.009,Williams
2000,1,Australian Grand Prix,8,4,VIL,Jacques,Villeneuve,Canadian,3,Finished,+44.447,BAR
2000,1,Australian Grand Prix,9,5,FIS,Giancarlo,Fisichella,Italian,2,Finished,+45.165,Benetton
2000,1,Australian Grand Prix,16,6,ZON,Ricardo,Zonta,Brazilian,1,Finished,+46.468,BAR
2000,1,Australian Grand Prix,14,7,WUR,Alexander,Wurz,Austrian,0,Finished,+46.915,Benetton
2000,1,Australian Grand Prix,18,8,,Marc,Gené,Spanish,0,+1 Lap,,Minardi
2000,1,Australian Grand Prix,15,9,HEI,Nick,Heidfeld,German,0,+2 Laps,,Prost
2000,1,Australian Grand Prix,10,10,,Mika,Salo,Finnish,0,Disqualified,,Sauber
2000,1,Australian Grand Prix,21,11,BUT,Jenson,Button,British,0,Engine,,Williams
2000,1,Australian Grand Prix,19,12,,Pedro,Diniz,Brazilian,0,Transmission,,Sauber
2000,1,Australian Grand Prix,22,13,,Gastón,Mazzacane,Argentine,0,Gearbox,,Minardi
2000,1,Australian Grand Prix,5,14,,Heinz-Harald,Frentzen,German,0,Hydraulics,,Jordan
2000,1,Australian Grand Prix,6,15,TRU,Jarno,Trulli,Italian,0,Engine,,Jordan
2000,1,Australian Grand Prix,17,16,,Jean,Alesi,French,0,Hydraulics,,Prost
2000,1,Australian Grand Prix,1,17,,Mika,Häkkinen,Finnish,0,Engine,,McLaren
2000,1,Australian Grand Prix,13,18,,Jos,Verstappen,Dutch,0,Suspension,,Arrows
2000,1,Australian Grand Prix,2,19,COU,David,Coulthard,British,0,Engine,,McLaren
2000,1,Australian Grand Prix,12,20,DLR,Pedro,de la Rosa,Spanish,0,Suspension,,Arrows
2000,1,Australian Grand Prix,7,21,,Eddie,Irvine,British,0,Spun off,,Jaguar
2000,1,Australian Grand Prix,20,22,,Johnny,Herbert,British,0,Clutch,,Jaguar
