Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2000,11,German Grand Prix,18,1,BAR,Rubens,Barrichello,Brazilian,10,Finished,1:25:34.418,Ferrari
2000,11,German Grand Prix,4,2,,Mika,Häkkinen,Finnish,6,Finished,+7.452,McLaren
2000,11,German Grand Prix,1,3,COU,David,Coulthard,British,4,Finished,+21.168,McLaren
2000,11,German Grand Prix,16,4,BUT,Jenson,Button,British,3,Finished,+22.685,Williams
2000,11,German Grand Prix,15,5,,Mika,Salo,Finnish,2,Finished,+27.112,Sauber
2000,11,German Grand Prix,5,6,DLR,Pedro,de la Rosa,Spanish,1,Finished,+29.080,Arrows
2000,11,German Grand Prix,14,7,SCH,Ralf,Schumacher,German,0,Finished,+30.898,Williams
2000,11,German Grand Prix,9,8,VIL,Jacques,Villeneuve,Canadian,0,Finished,+47.537,BAR
2000,11,German Grand Prix,6,9,TRU,Jarno,Trulli,Italian,0,Finished,+50.901,Jordan
2000,11,German Grand Prix,10,10,,Eddie,Irvine,British,0,Finished,+1:19.664,Jaguar
2000,11,German Grand Prix,21,11,,Gastón,Mazzacane,Argentine,0,Finished,+1:29.504,Minardi
2000,11,German Grand Prix,13,12,HEI,Nick,Heidfeld,German,0,Alternator,,Prost
2000,11,German Grand Prix,17,13,,Heinz-Harald,Frentzen,German,0,Gearbox,,Jordan
2000,11,German Grand Prix,11,14,,Jos,Verstappen,Dutch,0,Spun off,,Arrows
2000,11,German Grand Prix,12,15,ZON,Ricardo,Zonta,Brazilian,0,Spun off,,BAR
2000,11,German Grand Prix,22,16,,Marc,Gené,Spanish,0,Engine,,Minardi
2000,11,German Grand Prix,7,17,WUR,Alexander,Wurz,Austrian,0,Electrical,,Benetton
2000,11,German Grand Prix,19,18,,Pedro,Diniz,Brazilian,0,Collision,,Sauber
2000,11,German Grand Prix,20,19,,Jean,Alesi,French,0,Collision,,Prost
2000,11,German Grand Prix,8,20,,Johnny,Herbert,British,0,Gearbox,,Jaguar
2000,11,German Grand Prix,2,21,MSC,Michael,Schumacher,German,0,Collision,,Ferrari
2000,11,German Grand Prix,3,22,FIS,Giancarlo,Fisichella,Italian,0,Collision,,Benetton
