Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2000,17,Malaysian Grand Prix,1,1,MSC,Michael,Schumacher,German,10,Finished,1:35:54.235,Ferrari
2000,17,Malaysian Grand Prix,3,2,COU,David,Coulthard,British,6,Finished,+0.732,McLaren
2000,17,Malaysian Grand Prix,4,3,BAR,Rubens,Barrichello,Brazilian,4,Finished,+18.444,Ferrari
2000,17,Malaysian Grand Prix,2,4,,Mika,Häkkinen,Finnish,3,Finished,+35.269,McLaren
2000,17,Malaysian Grand Prix,6,5,VIL,Jacques,Villeneuve,Canadian,2,Finished,+1:10.692,BAR
2000,17,Malaysian Grand Prix,7,6,,Eddie,Irvine,British,1,Finished,+1:12.568,Jaguar
2000,17,Malaysian Grand Prix,5,7,WUR,Alexander,Wurz,Austrian,0,Finished,+1:29.314,Benetton
2000,17,Malaysian Grand Prix,17,8,,Mika,Salo,Finnish,0,+1 Lap,,Sauber
2000,17,Malaysian Grand Prix,13,9,FIS,Giancarlo,Fisichella,Italian,0,+1 Lap,,Benetton
2000,17,Malaysian Grand Prix,15,10,,Jos,Verstappen,Dutch,0,+1 Lap,,Arrows
2000,17,Malaysian Grand Prix,18,11,,Jean,Alesi,French,0,+1 Lap,,Prost
2000,17,Malaysian Grand Prix,9,12,TRU,Jarno,Trulli,Italian,0,+1 Lap,,Jordan
2000,17,Malaysian Grand Prix,22,13,,Gastón,Mazzacane,Argentine,0,Engine,,Minardi
2000,17,Malaysian Grand Prix,12,14,,Johnny,Herbert,British,0,Suspension,,Jaguar
2000,17,Malaysian Grand Prix,11,15,ZON,Ricardo,Zonta,Brazilian,0,Engine,,BAR
2000,17,Malaysian Grand Prix,8,16,SCH,Ralf,Schumacher,German,0,Engine,,Williams
2000,17,Malaysian Grand Prix,21,17,,Marc,Gené,Spanish,0,Wheel,,Minardi
2000,17,Malaysian Grand Prix,16,18,BUT,Jenson,Button,British,0,Engine,,Williams
2000,17,Malaysian Grand Prix,10,19,,Heinz-Harald,Frentzen,German,0,Electrical,,Jordan
2000,17,Malaysian Grand Prix,14,20,DLR,Pedro,de la Rosa,Spanish,0,Collision,,Arrows
2000,17,Malaysian Grand Prix,19,21,HEI,Nick,Heidfeld,German,0,Collision,,Prost
2000,17,Malaysian Grand Prix,20,22,,Pedro,Diniz,Brazilian,0,Collision,,Sauber
