Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2000,8,Canadian Grand Prix,1,1,MSC,Michael,Schumacher,German,10,Finished,1:41:12.313,Ferrari
2000,8,Canadian Grand Prix,3,2,BAR,Rubens,Barrichello,Brazilian,6,Finished,+0.174,Ferrari
2000,8,Canadian Grand Prix,10,3,FIS,Giancarlo,Fisichella,Italian,4,Finished,+15.365,Benetton
2000,8,Canadian Grand Prix,4,4,,Mika,Häkkinen,Finnish,3,Finished,+18.561,McLaren
2000,8,Canadian Grand Prix,13,5,,Jos,Verstappen,Dutch,2,Finished,+52.208,Arrows
2000,8,Canadian Grand Prix,7,6,TRU,Jarno,Trulli,Italian,1,Finished,+1:01.687,Jordan
2000,8,Canadian Grand Prix,2,7,COU,David,Coulthard,British,0,Finished,+1:02.216,McLaren
2000,8,Canadian Grand Prix,8,8,ZON,Ricardo,Zonta,Brazilian,0,Finished,+1:10.455,BAR
2000,8,Canadian Grand Prix,14,9,WUR,Alexander,Wurz,Austrian,0,Finished,+1:19.899,Benetton
2000,8,Canadian Grand Prix,19,10,,Pedro,Diniz,Brazilian,0,Finished,+1:54.544,Sauber
2000,8,Canadian Grand Prix,18,11,BUT,Jenson,Button,British,0,+1 Lap,,Williams
2000,8,Canadian Grand Prix,22,12,,Gastón,Mazzacane,Argentine,0,+1 Lap,,Minardi
2000,8,Canadian Grand Prix,16,13,,Eddie,Irvine,British,0,+3 Laps,,Jaguar
2000,8,Canadian Grand Prix,12,14,SCH,Ralf,Schumacher,German,0,Collision,,Williams
2000,8,Canadian Grand Prix,6,15,VIL,Jacques,Villeneuve,Canadian,0,Collision,,BAR
2000,8,Canadian Grand Prix,20,16,,Marc,Gené,Spanish,0,Spun off,,Minardi
2000,8,Canadian Grand Prix,9,17,DLR,Pedro,de la Rosa,Spanish,0,Collision,,Arrows
2000,8,Canadian Grand Prix,15,18,,Mika,Salo,Finnish,0,Electrical,,Sauber
2000,8,Canadian Grand Prix,17,19,,Jean,Alesi,French,0,Electrical,,Prost
2000,8,Canadian Grand Prix,21,20,HEI,Nick,Heidfeld,German,0,Engine,,Prost
2000,8,Canadian Grand Prix,5,21,,Heinz-Harald,Frentzen,German,0,Brakes,,Jordan
2000,8,Canadian Grand Prix,11,22,,Johnny,Herbert,British,0,Gearbox,,Jaguar
