Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2000,9,French Grand Prix,2,1,COU,David,Coulthard,British,10,Finished,1:38:05.538,McLaren
2000,9,French Grand Prix,4,2,,Mika,Häkkinen,Finnish,6,Finished,+14.748,McLaren
2000,9,French Grand Prix,3,3,BAR,Rubens,Barrichello,Brazilian,4,Finished,+32.409,Ferrari
2000,9,French Grand Prix,7,4,VIL,Jacques,Villeneuve,Canadian,3,Finished,+1:01.322,BAR
2000,9,French Grand Prix,5,5,SCH,Ralf,Schumacher,German,2,Finished,+1:03.981,Williams
2000,9,French Grand Prix,9,6,TRU,Jarno,Trulli,Italian,1,Finished,+1:15.605,Jordan
2000,9,French Grand Prix,8,7,,Heinz-Harald,Frentzen,German,0,+1 Lap,,Jordan
2000,9,French Grand Prix,10,8,BUT,Jenson,Button,British,0,+1 Lap,,Williams
2000,9,French Grand Prix,14,9,FIS,Giancarlo,Fisichella,Italian,0,+1 Lap,,Benetton
2000,9,French Grand Prix,12,10,,Mika,Salo,Finnish,0,+1 Lap,,Sauber
2000,9,French Grand Prix,15,11,,Pedro,Diniz,Brazilian,0,+1 Lap,,Sauber
2000,9,French Grand Prix,16,12,HEI,Nick,Heidfeld,German,0,+1 Lap,,Prost
2000,9,French Grand Prix,6,13,,Eddie,Irvine,British,0,+2 Laps,,Jaguar
2000,9,French Grand Prix,18,14,,Jean,Alesi,French,0,+2 Laps,,Prost
2000,9,French Grand Prix,21,15,,Marc,Gené,Spanish,0,+2 Laps,,Minardi
2000,9,French Grand Prix,1,16,MSC,Michael,Schumacher,German,0,Engine,,Ferrari
2000,9,French Grand Prix,13,17,DLR,Pedro,de la Rosa,Spanish,0,Transmission,,Arrows
2000,9,French Grand Prix,17,18,WUR,Alexander,Wurz,Austrian,0,Spun off,,Benetton
2000,9,French Grand Prix,22,19,,Gastón,Mazzacane,Argentine,0,Spun off,,Minardi
2000,9,French Grand Prix,20,20,,Jos,Verstappen,Dutch,0,Transmission,,Arrows
2000,9,French Grand Prix,11,21,,Johnny,Herbert,British,0,Gearbox,,Jaguar
2000,9,French Grand Prix,19,22,ZON,Ricardo,Zonta,Brazilian,0,Spun off,,BAR
