Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2001,10,French Grand Prix,2,1,MSC,Michael,Schumacher,German,10,Finished,1:33:35.636,Ferrari
2001,10,French Grand Prix,1,2,SCH,Ralf,Schumacher,German,6,Finished,+10.399,Williams
2001,10,French Grand Prix,8,3,BAR,Rubens,Barrichello,Brazilian,4,Finished,+16.381,Ferrari
2001,10,French Grand Prix,3,4,COU,David,Coulthard,British,3,Finished,+17.106,McLaren
2001,10,French Grand Prix,5,5,TRU,Jarno,Trulli,Italian,2,Finished,+1:08.285,Jordan
2001,10,French Grand Prix,9,6,HEI,Nick,Heidfeld,German,1,+1 Lap,,Sauber
2001,10,French Grand Prix,13,7,RAI,Kimi,Räikkönen,Finnish,0,+1 Lap,,Sauber
2001,10,French Grand Prix,7,8,,Heinz-Harald,Frentzen,German,0,+1 Lap,,Jordan
2001,10,French Grand Prix,11,9,,Olivier,Panis,French,0,+1 Lap,,BAR
2001,10,French Grand Prix,15,10,,Luciano,Burti,Brazilian,0,+1 Lap,,Prost
2001,10,French Grand Prix,16,11,FIS,Giancarlo,Fisichella,Italian,0,+1 Lap,,Benetton
2001,10,French Grand Prix,19,12,,Jean,Alesi,French,0,+2 Laps,,Prost
2001,10,French Grand Prix,18,13,,Jos,Verstappen,Dutch,0,+2 Laps,,Arrows
2001,10,French Grand Prix,14,14,DLR,Pedro,de la Rosa,Spanish,0,+2 Laps,,Jaguar
2001,10,French Grand Prix,22,15,,Tarso,Marques,Brazilian,0,+3 Laps,,Minardi
2001,10,French Grand Prix,17,16,BUT,Jenson,Button,British,0,Fuel pressure,,Benetton
2001,10,French Grand Prix,21,17,ALO,Fernando,Alonso,Spanish,0,Engine,,Minardi
2001,10,French Grand Prix,12,18,,Eddie,Irvine,British,0,Engine,,Jaguar
2001,10,French Grand Prix,6,19,MON,Juan,Pablo Montoya,Colombian,0,Engine,,Williams
2001,10,French Grand Prix,20,20,,Enrique,Bernoldi,Brazilian,0,Engine,,Arrows
2001,10,French Grand Prix,10,21,VIL,Jacques,Villeneuve,Canadian,0,Engine,,BAR
2001,10,French Grand Prix,4,22,,Mika,Häkkinen,Finnish,0,Gearbox,,McLaren
