Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2001,2,Malaysian Grand Prix,1,1,MSC,Michael,Schumacher,German,10,Finished,1:47:34.801,Ferrari
2001,2,Malaysian Grand Prix,2,2,BAR,Rubens,Barrichello,Brazilian,6,Finished,+23.660,Ferrari
2001,2,Malaysian Grand Prix,8,3,COU,David,Coulthard,British,4,Finished,+28.555,McLaren
2001,2,Malaysian Grand Prix,9,4,,Heinz-Harald,Frentzen,German,3,Finished,+46.543,Jordan
2001,2,Malaysian Grand Prix,3,5,SCH,Ralf,Schumacher,German,2,Finished,+48.233,Williams
2001,2,Malaysian Grand Prix,4,6,,Mika,Häkkinen,Finnish,1,Finished,+48.606,McLaren
2001,2,Malaysian Grand Prix,18,7,,Jos,Verstappen,Dutch,0,Finished,+1:21.560,Arrows
2001,2,Malaysian Grand Prix,5,8,TRU,Jarno,Trulli,Italian,0,+1 Lap,,Jordan
2001,2,Malaysian Grand Prix,13,9,,Jean,Alesi,French,0,+1 Lap,,Prost
2001,2,Malaysian Grand Prix,15,10,,Luciano,Burti,Brazilian,0,+1 Lap,,Jaguar
2001,2,Malaysian Grand Prix,17,11,BUT,Jenson,Button,British,0,+2 Laps,,Benetton
2001,2,Malaysian Grand Prix,19,12,,Gastón,Mazzacane,Argentine,0,+2 Laps,,Prost
2001,2,Malaysian Grand Prix,21,13,ALO,Fernando,Alonso,Spanish,0,+3 Laps,,Minardi
2001,2,Malaysian Grand Prix,20,14,,Tarso,Marques,Brazilian,0,+4 Laps,,Minardi
2001,2,Malaysian Grand Prix,16,15,FIS,Giancarlo,Fisichella,Italian,0,Fuel pressure,,Benetton
2001,2,Malaysian Grand Prix,7,16,VIL,Jacques,Villeneuve,Canadian,0,Spun off,,BAR
2001,2,Malaysian Grand Prix,11,17,HEI,Nick,Heidfeld,German,0,Spun off,,Sauber
2001,2,Malaysian Grand Prix,22,18,,Enrique,Bernoldi,Brazilian,0,Spun off,,Arrows
2001,2,Malaysian Grand Prix,6,19,MON,Juan,Pablo Montoya,Colombian,0,Spun off,,Williams
2001,2,Malaysian Grand Prix,12,20,,Eddie,Irvine,British,0,Water leak,,Jaguar
2001,2,Malaysian Grand Prix,10,21,,Olivier,Panis,French,0,Oil leak,,BAR
2001,2,Malaysian Grand Prix,14,22,RAI,Kimi,Räikkönen,Finnish,0,Driveshaft,,Sauber
