Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2001,9,European Grand Prix,1,1,MSC,Michael,Schumacher,German,10,Finished,1:29:42.724,Ferrari
2001,9,European Grand Prix,3,2,MON,Juan,Pablo Montoya,Colombian,6,Finished,+4.127,Williams
2001,9,European Grand Prix,5,3,COU,David,Coulthard,British,4,Finished,+24.993,McLaren
2001,9,European Grand Prix,2,4,SCH,Ralf,Schumacher,German,3,Finished,+33.345,Williams
2001,9,European Grand Prix,4,5,BAR,Rubens,Barrichello,Brazilian,2,Finished,+45.495,Ferrari
2001,9,European Grand Prix,6,6,,Mika,Häkkinen,Finnish,1,Finished,+1:04.868,McLaren
2001,9,European Grand Prix,12,7,,Eddie,Irvine,British,0,Finished,+1:06.198,Jaguar
2001,9,European Grand Prix,16,8,DLR,Pedro,de la Rosa,Spanish,0,+1 Lap,,Jaguar
2001,9,European Grand Prix,11,9,VIL,Jacques,Villeneuve,Canadian,0,+1 Lap,,BAR
2001,9,European Grand Prix,9,10,RAI,Kimi,Räikkönen,Finnish,0,+1 Lap,,Sauber
2001,9,European Grand Prix,15,11,FIS,Giancarlo,Fisichella,Italian,0,+1 Lap,,Benetton
2001,9,European Grand Prix,17,12,,Luciano,Burti,Brazilian,0,+2 Laps,,Prost
2001,9,European Grand Prix,20,13,BUT,Jenson,Button,British,0,+2 Laps,,Benetton
2001,9,European Grand Prix,21,14,ALO,Fernando,Alonso,Spanish,0,+2 Laps,,Minardi
2001,9,European Grand Prix,14,15,,Jean,Alesi,French,0,Spun off,,Prost
2001,9,European Grand Prix,19,16,,Jos,Verstappen,Dutch,0,Engine,,Arrows
2001,9,European Grand Prix,10,17,HEI,Nick,Heidfeld,German,0,Driveshaft,,Sauber
2001,9,European Grand Prix,8,18,,Heinz-Harald,Frentzen,German,0,Spun off,,Jordan
2001,9,European Grand Prix,7,19,TRU,Jarno,Trulli,Italian,0,Transmission,,Jordan
2001,9,European Grand Prix,18,20,,Enrique,Bernoldi,Brazilian,0,Gearbox,,Arrows
2001,9,European Grand Prix,13,21,,Olivier,Panis,French,0,Electrical,,BAR
2001,9,European Grand Prix,22,22,,Tarso,Marques,Brazilian,0,Electrical,,Minardi
