Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2002,12,German Grand Prix,1,1,MSC,Michael,Schumacher,German,10,Finished,1:27:52.078,Ferrari
2002,12,German Grand Prix,4,2,MON,Juan,Pablo Montoya,Colombian,6,Finished,+10.503,Williams
2002,12,German Grand Prix,2,3,SCH,Ralf,Schumacher,German,4,Finished,+14.466,Williams
2002,12,German Grand Prix,3,4,BAR,Rubens,Barrichello,Brazilian,3,Finished,+23.195,Ferrari
2002,12,German Grand Prix,9,5,COU,David,Coulthard,British,2,+1 Lap,,McLaren
2002,12,German Grand Prix,10,6,HEI,Nick,Heidfeld,German,1,+1 Lap,,Sauber
2002,12,German Grand Prix,14,7,MAS,Felipe,Massa,Brazilian,0,+1 Lap,,Sauber
2002,12,German Grand Prix,12,8,SAT,Takuma,Sato,Japanese,0,+1 Lap,,Jordan
2002,12,German Grand Prix,19,9,,Mika,Salo,Finnish,0,+1 Lap,,Toyota
2002,12,German Grand Prix,6,10,FIS,Giancarlo,Fisichella,Italian,0,Engine,,Jordan
2002,12,German Grand Prix,5,11,RAI,Kimi,Räikkönen,Finnish,0,Spun off,,McLaren
2002,12,German Grand Prix,16,12,,Eddie,Irvine,British,0,Brakes,,Jaguar
2002,12,German Grand Prix,18,13,,Enrique,Bernoldi,Brazilian,0,Engine,,Arrows
2002,12,German Grand Prix,7,14,,Olivier,Panis,French,0,Engine,,BAR
2002,12,German Grand Prix,8,15,TRU,Jarno,Trulli,Italian,0,Spun off,,Renault
2002,12,German Grand Prix,11,16,VIL,Jacques,Villeneuve,Canadian,0,Gearbox,,BAR
2002,12,German Grand Prix,13,17,BUT,Jenson,Button,British,0,Engine,,Renault
2002,12,German Grand Prix,17,18,,Allan,McNish,British,0,Engine,,Toyota
2002,12,German Grand Prix,21,19,WEB,Mark,Webber,Australian,0,Hydraulics,,Minardi
2002,12,German Grand Prix,15,20,,Heinz-Harald,Frentzen,German,0,Hydraulics,,Arrows
2002,12,German Grand Prix,20,21,DLR,Pedro,de la Rosa,Spanish,0,Transmission,,Jaguar
