Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2002,14,Belgian Grand Prix,1,1,MSC,Michael,Schumacher,German,10,Finished,1:21:20.634,Ferrari
2002,14,Belgian Grand Prix,3,2,BAR,Rubens,Barrichello,Brazilian,6,Finished,+1.977,Ferrari
2002,14,Belgian Grand Prix,5,3,MON,Juan,Pablo Montoya,Colombian,4,Finished,+18.445,Williams
2002,14,Belgian Grand Prix,6,4,COU,David,Coulthard,British,3,Finished,+19.357,McLaren
2002,14,Belgian Grand Prix,4,5,SCH,Ralf,Schumacher,German,2,Finished,+56.440,Williams
2002,14,Belgian Grand Prix,8,6,,Eddie,Irvine,British,1,Finished,+1:17.370,Jaguar
2002,14,Belgian Grand Prix,9,7,,Mika,Salo,Finnish,0,Finished,+1:17.809,Toyota
2002,14,Belgian Grand Prix,12,8,VIL,Jacques,Villeneuve,Canadian,0,Finished,+1:19.855,BAR
2002,14,Belgian Grand Prix,13,9,,Allan,McNish,British,0,+1 Lap,,Toyota
2002,14,Belgian Grand Prix,18,10,HEI,Nick,Heidfeld,German,0,+1 Lap,,Sauber
2002,14,Belgian Grand Prix,16,11,SAT,Takuma,Sato,Japanese,0,+1 Lap,,Jordan
2002,14,Belgian Grand Prix,15,12,,Olivier,Panis,French,0,Engine,,BAR
2002,14,Belgian Grand Prix,14,13,FIS,Giancarlo,Fisichella,Italian,0,Engine,,Jordan
2002,14,Belgian Grand Prix,11,14,DLR,Pedro,de la Rosa,Spanish,0,Suspension,,Jaguar
2002,14,Belgian Grand Prix,17,15,MAS,Felipe,Massa,Brazilian,0,Engine,,Sauber
2002,14,Belgian Grand Prix,2,16,RAI,Kimi,Räikkönen,Finnish,0,Engine,,McLaren
2002,14,Belgian Grand Prix,7,17,TRU,Jarno,Trulli,Italian,0,Engine,,Renault
2002,14,Belgian Grand Prix,20,18,DAV,Anthony,Davidson,British,0,Spun off,,Minardi
2002,14,Belgian Grand Prix,10,19,BUT,Jenson,Button,British,0,Engine,,Renault
2002,14,Belgian Grand Prix,19,20,WEB,Mark,Webber,Australian,0,Gearbox,,Minardi
