Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2002,9,European Grand Prix,4,1,BAR,Rubens,Barrichello,Brazilian,10,Finished,1:35:07.426,Ferrari
2002,9,European Grand Prix,3,2,MSC,Michael,Schumacher,German,6,Finished,+0.294,Ferrari
2002,9,European Grand Prix,6,3,RAI,Kimi,Räikkönen,Finnish,4,Finished,+46.435,McLaren
2002,9,European Grand Prix,2,4,SCH,Ralf,Schumacher,German,3,Finished,+1:06.963,Williams
2002,9,European Grand Prix,8,5,BUT,Jenson,Button,British,2,Finished,+1:16.944,Renault
2002,9,European Grand Prix,11,6,MAS,Felipe,Massa,Brazilian,1,+1 Lap,,Sauber
2002,9,European Grand Prix,9,7,HEI,Nick,Heidfeld,German,0,+1 Lap,,Sauber
2002,9,European Grand Prix,7,8,TRU,Jarno,Trulli,Italian,0,+1 Lap,,Renault
2002,9,European Grand Prix,12,9,,Olivier,Panis,French,0,+1 Lap,,BAR
2002,9,European Grand Prix,16,10,DLR,Pedro,de la Rosa,Spanish,0,+1 Lap,,Jaguar
2002,9,European Grand Prix,21,11,,Enrique,Bernoldi,Brazilian,0,+1 Lap,,Arrows
2002,9,European Grand Prix,19,12,VIL,Jacques,Villeneuve,Canadian,0,+1 Lap,,BAR
2002,9,European Grand Prix,15,13,,Heinz-Harald,Frentzen,German,0,+1 Lap,,Arrows
2002,9,European Grand Prix,13,14,,Allan,McNish,British,0,+1 Lap,,Toyota
2002,9,European Grand Prix,20,15,WEB,Mark,Webber,Australian,0,+2 Laps,,Minardi
2002,9,European Grand Prix,14,16,SAT,Takuma,Sato,Japanese,0,+2 Laps,,Jordan
2002,9,European Grand Prix,10,17,,Mika,Salo,Finnish,0,Gearbox,,Toyota
2002,9,European Grand Prix,22,18,,Alex,Yoong,Malaysian,0,Hydraulics,,Minardi
2002,9,European Grand Prix,17,19,,Eddie,Irvine,British,0,Hydraulics,,Jaguar
2002,9,European Grand Prix,1,20,MON,Juan,Pablo Montoya,Colombian,0,Collision,,Williams
2002,9,European Grand Prix,5,21,COU,David,Coulthard,British,0,Collision,,McLaren
2002,9,European Grand Prix,18,22,FIS,Giancarlo,Fisichella,Italian,0,Accident,,Jordan
