Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2003,11,British Grand Prix,1,1,BAR,Rubens,Barrichello,Brazilian,10,Finished,1:28:37.554,Ferrari
2003,11,British Grand Prix,7,2,MON,Juan,Pablo Montoya,Colombian,8,Finished,+5.462,Williams
2003,11,British Grand Prix,3,3,RAI,Kimi,Räikkönen,Finnish,6,Finished,+10.656,McLaren
2003,11,British Grand Prix,5,4,MSC,Michael,Schumacher,German,5,Finished,+25.648,Ferrari
2003,11,British Grand Prix,12,5,COU,David,Coulthard,British,4,Finished,+36.827,McLaren
2003,11,British Grand Prix,2,6,TRU,Jarno,Trulli,Italian,3,Finished,+43.067,Renault
2003,11,British Grand Prix,6,7,,Cristiano,da Matta,Brazilian,2,Finished,+45.085,Toyota
2003,11,British Grand Prix,20,8,BUT,Jenson,Button,British,1,Finished,+45.478,BAR
2003,11,British Grand Prix,4,9,SCH,Ralf,Schumacher,German,0,Finished,+58.032,Williams
2003,11,British Grand Prix,9,10,VIL,Jacques,Villeneuve,Canadian,0,Finished,+1:03.569,BAR
2003,11,British Grand Prix,13,11,,Olivier,Panis,French,0,Finished,+1:05.207,Toyota
2003,11,British Grand Prix,14,12,,Heinz-Harald,Frentzen,German,0,Finished,+1:05.564,Sauber
2003,11,British Grand Prix,17,13,,Ralph,Firman,Irish,0,+1 Lap,,Jordan
2003,11,British Grand Prix,11,14,WEB,Mark,Webber,Australian,0,+1 Lap,,Jaguar
2003,11,British Grand Prix,19,15,,Jos,Verstappen,Dutch,0,+2 Laps,,Minardi
2003,11,British Grand Prix,18,16,,Justin,Wilson,British,0,+2 Laps,,Minardi
2003,11,British Grand Prix,16,17,HEI,Nick,Heidfeld,German,0,+2 Laps,,Sauber
2003,11,British Grand Prix,8,18,ALO,Fernando,Alonso,Spanish,0,Gearbox,,Renault
2003,11,British Grand Prix,15,19,FIS,Giancarlo,Fisichella,Italian,0,Suspension,,Jordan
2003,11,British Grand Prix,10,20,PIZ,Antônio,Pizzonia,Brazilian,0,Engine,,Jaguar
