Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2003,13,Hungarian Grand Prix,1,1,ALO,Fernando,Alonso,Spanish,10,Finished,1:39:01.460,Renault
2003,13,Hungarian Grand Prix,7,2,RAI,Kimi,Räikkönen,Finnish,8,Finished,+16.768,McLaren
2003,13,Hungarian Grand Prix,4,3,MON,Juan,Pablo Montoya,Colombian,6,Finished,+34.537,Williams
2003,13,Hungarian Grand Prix,2,4,SCH,Ralf,Schumacher,German,5,Finished,+35.620,Williams
2003,13,Hungarian Grand Prix,9,5,COU,David,Coulthard,British,4,Finished,+56.535,McLaren
2003,13,Hungarian Grand Prix,3,6,WEB,Mark,Webber,Australian,3,Finished,+1:12.643,Jaguar
2003,13,Hungarian Grand Prix,6,7,TRU,Jarno,Trulli,Italian,2,+1 Lap,,Renault
2003,13,Hungarian Grand Prix,8,8,MSC,Michael,Schumacher,German,1,+1 Lap,,Ferrari
2003,13,Hungarian Grand Prix,11,9,HEI,Nick,Heidfeld,German,0,+1 Lap,,Sauber
2003,13,Hungarian Grand Prix,14,10,BUT,Jenson,Button,British,0,+1 Lap,,BAR
2003,13,Hungarian Grand Prix,15,11,,Cristiano,da Matta,Brazilian,0,+2 Laps,,Toyota
2003,13,Hungarian Grand Prix,18,12,,Jos,Verstappen,Dutch,0,+3 Laps,,Minardi
2003,13,Hungarian Grand Prix,20,13,,Nicolas,Kiesa,Danish,0,+4 Laps,,Minardi
2003,13,Hungarian Grand Prix,17,14,,Heinz-Harald,Frentzen,German,0,Out of fuel,,Sauber
2003,13,Hungarian Grand Prix,12,15,,Justin,Wilson,British,0,Engine,,Jaguar
2003,13,Hungarian Grand Prix,19,16,,Zsolt,Baumgartner,Hungarian,0,Engine,,Jordan
2003,13,Hungarian Grand Prix,10,17,,Olivier,Panis,French,0,Gearbox,,Toyota
2003,13,Hungarian Grand Prix,13,18,FIS,Giancarlo,Fisichella,Italian,0,Engine,,Jordan
2003,13,Hungarian Grand Prix,5,19,BAR,Rubens,Barrichello,Brazilian,0,Suspension,,Ferrari
2003,13,Hungarian Grand Prix,16,20,VIL,Jacques,Villeneuve,Canadian,0,Hydraulics,,BAR
