Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2003,16,Japanese Grand Prix,1,1,BAR,Rubens,Barrichello,Brazilian,10,Finished,1:25:11.743,Ferrari
2003,16,Japanese Grand Prix,8,2,RAI,Kimi,Räikkönen,Finnish,8,Finished,+11.085,McLaren
2003,16,Japanese Grand Prix,7,3,COU,David,Coulthard,British,6,Finished,+11.614,McLaren
2003,16,Japanese Grand Prix,9,4,BUT,Jenson,Button,British,5,Finished,+33.106,BAR
2003,16,Japanese Grand Prix,20,5,TRU,Jarno,Trulli,Italian,4,Finished,+34.269,Renault
2003,16,Japanese Grand Prix,13,6,SAT,Takuma,Sato,Japanese,3,Finished,+51.692,BAR
2003,16,Japanese Grand Prix,3,7,,Cristiano,da Matta,Brazilian,2,Finished,+56.794,Toyota
2003,16,Japanese Grand Prix,14,8,MSC,Michael,Schumacher,German,1,Finished,+59.487,Ferrari
2003,16,Japanese Grand Prix,11,9,HEI,Nick,Heidfeld,German,0,Finished,+1:00.159,Sauber
2003,16,Japanese Grand Prix,4,10,,Olivier,Panis,French,0,Finished,+1:01.844,Toyota
2003,16,Japanese Grand Prix,6,11,WEB,Mark,Webber,Australian,0,Finished,+1:11.005,Jaguar
2003,16,Japanese Grand Prix,19,12,SCH,Ralf,Schumacher,German,0,+1 Lap,,Williams
2003,16,Japanese Grand Prix,10,13,,Justin,Wilson,British,0,+1 Lap,,Jaguar
2003,16,Japanese Grand Prix,15,14,,Ralph,Firman,Irish,0,+2 Laps,,Jordan
2003,16,Japanese Grand Prix,17,15,,Jos,Verstappen,Dutch,0,+2 Laps,,Minardi
2003,16,Japanese Grand Prix,18,16,,Nicolas,Kiesa,Danish,0,+3 Laps,,Minardi
2003,16,Japanese Grand Prix,16,17,FIS,Giancarlo,Fisichella,Italian,0,Out of fuel,,Jordan
2003,16,Japanese Grand Prix,5,18,ALO,Fernando,Alonso,Spanish,0,Engine,,Renault
2003,16,Japanese Grand Prix,12,19,,Heinz-Harald,Frentzen,German,0,Engine,,Sauber
2003,16,Japanese Grand Prix,2,20,MON,Juan,Pablo Montoya,Colombian,0,Hydraulics,,Williams
