Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2003,7,Monaco Grand Prix,3,1,MON,Juan,Pablo Montoya,Colombian,10,Finished,1:42:19.010,Williams
2003,7,Monaco Grand Prix,2,2,RAI,Kimi,Räikkönen,Finnish,8,Finished,+0.602,McLaren
2003,7,Monaco Grand Prix,5,3,MSC,Michael,Schumacher,German,6,Finished,+1.720,Ferrari
2003,7,Monaco Grand Prix,1,4,SCH,Ralf,Schumacher,German,5,Finished,+28.518,Williams
2003,7,Monaco Grand Prix,8,5,ALO,Fernando,Alonso,Spanish,4,Finished,+36.251,Renault
2003,7,Monaco Grand Prix,4,6,TRU,Jarno,Trulli,Italian,3,Finished,+40.972,Renault
2003,7,Monaco Grand Prix,6,7,COU,David,Coulthard,British,2,Finished,+41.227,McLaren
2003,7,Monaco Grand Prix,7,8,BAR,Rubens,Barrichello,Brazilian,1,Finished,+53.266,Ferrari
2003,7,Monaco Grand Prix,10,9,,Cristiano,da Matta,Brazilian,0,+1 Lap,,Toyota
2003,7,Monaco Grand Prix,12,10,FIS,Giancarlo,Fisichella,Italian,0,+1 Lap,,Jordan
2003,7,Monaco Grand Prix,14,11,HEI,Nick,Heidfeld,German,0,+2 Laps,,Sauber
2003,7,Monaco Grand Prix,16,12,,Ralph,Firman,Irish,0,+2 Laps,,Jordan
2003,7,Monaco Grand Prix,17,13,,Olivier,Panis,French,0,+4 Laps,,Toyota
2003,7,Monaco Grand Prix,11,14,VIL,Jacques,Villeneuve,Canadian,0,Engine,,BAR
2003,7,Monaco Grand Prix,19,15,,Justin,Wilson,British,0,Fuel system,,Minardi
2003,7,Monaco Grand Prix,18,16,,Jos,Verstappen,Dutch,0,Fuel system,,Minardi
2003,7,Monaco Grand Prix,9,17,WEB,Mark,Webber,Australian,0,Hydraulics,,Jaguar
2003,7,Monaco Grand Prix,13,18,PIZ,Antônio,Pizzonia,Brazilian,0,Electrical,,Jaguar
2003,7,Monaco Grand Prix,15,19,,Heinz-Harald,Frentzen,German,0,Accident,,Sauber
2003,7,Monaco Grand Prix,20,20,BUT,Jenson,Button,British,0,Injured,,BAR
