Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2003,8,Canadian Grand Prix,3,1,MSC,Michael,Schumacher,German,10,Finished,1:31:13.591,Ferrari
2003,8,Canadian Grand Prix,1,2,SCH,Ralf,Schumacher,German,8,Finished,+0.784,Williams
2003,8,Canadian Grand Prix,2,3,MON,Juan,Pablo Montoya,Colombian,6,Finished,+1.355,Williams
2003,8,Canadian Grand Prix,4,4,ALO,Fernando,Alonso,Spanish,5,Finished,+4.481,Renault
2003,8,Canadian Grand Prix,5,5,BAR,Rubens,Barrichello,Brazilian,4,Finished,+1:04.261,Ferrari
2003,8,Canadian Grand Prix,20,6,RAI,Kimi,Räikkönen,Finnish,3,Finished,+1:10.502,McLaren
2003,8,Canadian Grand Prix,6,7,WEB,Mark,Webber,Australian,2,+1 Lap,,Jaguar
2003,8,Canadian Grand Prix,7,8,,Olivier,Panis,French,1,+1 Lap,,Toyota
2003,8,Canadian Grand Prix,15,9,,Jos,Verstappen,Dutch,0,+2 Laps,,Minardi
2003,8,Canadian Grand Prix,13,10,PIZ,Antônio,Pizzonia,Brazilian,0,+4 Laps,,Jaguar
2003,8,Canadian Grand Prix,9,11,,Cristiano,da Matta,Brazilian,0,+6 Laps,,Toyota
2003,8,Canadian Grand Prix,18,12,,Justin,Wilson,British,0,Gearbox,,Minardi
2003,8,Canadian Grand Prix,17,13,BUT,Jenson,Button,British,0,Gearbox,,BAR
2003,8,Canadian Grand Prix,11,14,COU,David,Coulthard,British,0,Gearbox,,McLaren
2003,8,Canadian Grand Prix,12,15,HEI,Nick,Heidfeld,German,0,Engine,,Sauber
2003,8,Canadian Grand Prix,8,16,TRU,Jarno,Trulli,Italian,0,Accident,,Renault
2003,8,Canadian Grand Prix,16,17,FIS,Giancarlo,Fisichella,Italian,0,Gearbox,,Jordan
2003,8,Canadian Grand Prix,19,18,,Ralph,Firman,Irish,0,Engine,,Jordan
2003,8,Canadian Grand Prix,14,19,VIL,Jacques,Villeneuve,Canadian,0,Brakes,,BAR
2003,8,Canadian Grand Prix,10,20,,Heinz-Harald,Frentzen,German,0,Electronics,,Sauber
