Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2003,9,European Grand Prix,3,1,SCH,Ralf,Schumacher,German,10,Finished,1:34:43.622,Williams
2003,9,European Grand Prix,4,2,MON,Juan,Pablo Montoya,Colombian,8,Finished,+16.821,Williams
2003,9,European Grand Prix,5,3,BAR,Rubens,Barrichello,Brazilian,6,Finished,+39.673,Ferrari
2003,9,European Grand Prix,8,4,ALO,Fernando,Alonso,Spanish,5,Finished,+1:05.731,Renault
2003,9,European Grand Prix,2,5,MSC,Michael,Schumacher,German,4,Finished,+1:06.162,Ferrari
2003,9,European Grand Prix,11,6,WEB,Mark,Webber,Australian,3,+1 Lap,,Jaguar
2003,9,European Grand Prix,12,7,BUT,Jenson,Button,British,2,+1 Lap,,BAR
2003,9,European Grand Prix,20,8,HEI,Nick,Heidfeld,German,1,+1 Lap,,Sauber
2003,9,European Grand Prix,15,9,,Heinz-Harald,Frentzen,German,0,+1 Lap,,Sauber
2003,9,European Grand Prix,16,10,PIZ,Antônio,Pizzonia,Brazilian,0,+1 Lap,,Jaguar
2003,9,European Grand Prix,14,11,,Ralph,Firman,Irish,0,+2 Laps,,Jordan
2003,9,European Grand Prix,13,12,FIS,Giancarlo,Fisichella,Italian,0,+2 Laps,,Jordan
2003,9,European Grand Prix,19,13,,Justin,Wilson,British,0,+2 Laps,,Minardi
2003,9,European Grand Prix,18,14,,Jos,Verstappen,Dutch,0,+3 Laps,,Minardi
2003,9,European Grand Prix,9,15,COU,David,Coulthard,British,0,+4 Laps,,McLaren
2003,9,European Grand Prix,10,16,,Cristiano,da Matta,Brazilian,0,Engine,,Toyota
2003,9,European Grand Prix,17,17,VIL,Jacques,Villeneuve,Canadian,0,Gearbox,,BAR
2003,9,European Grand Prix,6,18,TRU,Jarno,Trulli,Italian,0,Fuel pressure,,Renault
2003,9,European Grand Prix,7,19,,Olivier,Panis,French,0,Spun off,,Toyota
2003,9,European Grand Prix,1,20,RAI,Kimi,Räikkönen,Finnish,0,Engine,,McLaren
