Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2004,12,German Grand Prix,1,1,MSC,Michael,Schumacher,German,10,Finished,1:23:54.848,Ferrari
2004,12,German Grand Prix,13,2,BUT,Jenson,Button,British,8,Finished,+8.388,BAR
2004,12,German Grand Prix,5,3,ALO,Fernando,Alonso,Spanish,6,Finished,+16.351,Renault
2004,12,German Grand Prix,4,4,COU,David,Coulthard,British,5,Finished,+19.231,McLaren
2004,12,German Grand Prix,2,5,MON,Juan,Pablo Montoya,Colombian,4,Finished,+23.055,Williams
2004,12,German Grand Prix,11,6,WEB,Mark,Webber,Australian,3,Finished,+41.108,Jaguar
2004,12,German Grand Prix,10,7,PIZ,Antônio,Pizzonia,Brazilian,2,Finished,+41.956,Williams
2004,12,German Grand Prix,8,8,SAT,Takuma,Sato,Japanese,1,Finished,+46.842,BAR
2004,12,German Grand Prix,14,9,FIS,Giancarlo,Fisichella,Italian,0,Finished,+1:07.102,Sauber
2004,12,German Grand Prix,12,10,KLI,Christian,Klien,Austrian,0,Finished,+1:08.578,Jaguar
2004,12,German Grand Prix,6,11,TRU,Jarno,Trulli,Italian,0,Finished,+1:10.258,Renault
2004,12,German Grand Prix,7,12,BAR,Rubens,Barrichello,Brazilian,0,Finished,+1:13.252,Ferrari
2004,12,German Grand Prix,16,13,MAS,Felipe,Massa,Brazilian,0,+1 Lap,,Sauber
2004,12,German Grand Prix,9,14,,Olivier,Panis,French,0,+1 Lap,,Toyota
2004,12,German Grand Prix,17,15,,Giorgio,Pantano,Italian,0,+3 Laps,,Jordan
2004,12,German Grand Prix,20,16,,Zsolt,Baumgartner,Hungarian,0,+4 Laps,,Minardi
2004,12,German Grand Prix,19,17,,Gianmaria,Bruni,Italian,0,+4 Laps,,Minardi
2004,12,German Grand Prix,18,18,HEI,Nick,Heidfeld,German,0,Handling,,Jordan
2004,12,German Grand Prix,15,19,,Cristiano,da Matta,Brazilian,0,Puncture,,Toyota
2004,12,German Grand Prix,3,20,RAI,Kimi,Räikkönen,Finnish,0,Rear wing,,McLaren
