Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2004,14,Belgian Grand Prix,10,1,RAI,Kimi,Räikkönen,Finnish,10,Finished,1:32:35.274,McLaren
2004,14,Belgian Grand Prix,2,2,MSC,Michael,Schumacher,German,8,Finished,+3.132,Ferrari
2004,14,Belgian Grand Prix,6,3,BAR,Rubens,Barrichello,Brazilian,6,Finished,+4.371,Ferrari
2004,14,Belgian Grand Prix,8,4,MAS,Felipe,Massa,Brazilian,5,Finished,+12.504,Sauber
2004,14,Belgian Grand Prix,5,5,FIS,Giancarlo,Fisichella,Italian,4,Finished,+14.104,Sauber
2004,14,Belgian Grand Prix,13,6,KLI,Christian,Klien,Austrian,3,Finished,+14.614,Jaguar
2004,14,Belgian Grand Prix,4,7,COU,David,Coulthard,British,2,Finished,+17.970,McLaren
2004,14,Belgian Grand Prix,9,8,,Olivier,Panis,French,1,Finished,+18.693,Toyota
2004,14,Belgian Grand Prix,1,9,TRU,Jarno,Trulli,Italian,0,Finished,+22.115,Renault
2004,14,Belgian Grand Prix,20,10,ZON,Ricardo,Zonta,Brazilian,0,Engine,,Toyota
2004,14,Belgian Grand Prix,16,11,HEI,Nick,Heidfeld,German,0,+4 Laps,,Jordan
2004,14,Belgian Grand Prix,11,12,MON,Juan,Pablo Montoya,Colombian,0,Tyre,,Williams
2004,14,Belgian Grand Prix,14,13,PIZ,Antônio,Pizzonia,Brazilian,0,Gearbox,,Williams
2004,14,Belgian Grand Prix,12,14,BUT,Jenson,Button,British,0,Collision,,BAR
2004,14,Belgian Grand Prix,18,15,,Zsolt,Baumgartner,Hungarian,0,Collision,,Minardi
2004,14,Belgian Grand Prix,3,16,ALO,Fernando,Alonso,Spanish,0,Engine,,Renault
2004,14,Belgian Grand Prix,7,17,WEB,Mark,Webber,Australian,0,Collision,,Jaguar
2004,14,Belgian Grand Prix,15,18,SAT,Takuma,Sato,Japanese,0,Collision,,BAR
2004,14,Belgian Grand Prix,17,19,,Gianmaria,Bruni,Italian,0,Collision,,Minardi
2004,14,Belgian Grand Prix,19,20,,Giorgio,Pantano,Italian,0,Collision,,Jordan
