Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2004,17,1,michael_schumacher,Michael,Schumacher,German,146
2004,17,2,barrichello,Rubens,Barrichello,Brazilian,108
2004,17,3,button,Jenson,Button,British,85
2004,17,4,alonso,Fernando,Alonso,Spanish,54
2004,17,5,montoya,Juan,Pablo Montoya,Colombian,48
2004,17,6,trulli,Jarno,Trulli,Italian,46
2004,17,7,raikkonen,Kimi,Räikkönen,Finnish,37
2004,17,8,sato,Takuma,Sato,Japanese,31
2004,17,9,coulthard,David,Coulthard,British,24
2004,17,10,fisichella,Giancarlo,Fisichella,Italian,22
2004,17,11,ralf_schumacher,Ralf,Schumacher,German,20
2004,17,12,massa,Felipe,Massa,Brazilian,11
2004,17,13,webber,Mark,Webber,Australian,7
2004,17,14,panis,Olivier,Panis,French,6
2004,17,15,pizzonia,Antônio,Pizzonia,Brazilian,6
2004,17,16,klien,Christian,Klien,Austrian,3
2004,17,17,matta,Cristiano,da Matta,Brazilian,3
2004,17,18,heidfeld,Nick,Heidfeld,German,3
2004,17,19,glock,Timo,Glock,German,2
2004,17,20,baumgartner,Zsolt,Baumgartner,Hungarian,1
2004,17,21,villeneuve,Jacques,Villeneuve,Canadian,0
2004,17,22,zonta,Ricardo,Zonta,Brazilian,0
2004,17,23,gene,Marc,Gené,Spanish,0
2004,17,24,pantano,Giorgio,Pantano,Italian,0
2004,17,25,bruni,Gianmaria,Bruni,Italian,0
