Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2004,17,Japanese Grand Prix,1,1,MSC,Michael,Schumacher,German,10,Finished,1:24:26.985,Ferrari
2004,17,Japanese Grand Prix,2,2,SCH,Ralf,Schumacher,German,8,Finished,+14.098,Williams
2004,17,Japanese Grand Prix,5,3,BUT,Jenson,Button,British,6,Finished,+19.662,BAR
2004,17,Japanese Grand Prix,4,4,SAT,Takuma,Sato,Japanese,5,Finished,+31.781,BAR
2004,17,Japanese Grand Prix,11,5,ALO,Fernando,Alonso,Spanish,4,Finished,+37.767,Renault
2004,17,Japanese Grand Prix,12,6,RAI,Kimi,Räikkönen,Finnish,3,Finished,+39.362,McLaren
2004,17,Japanese Grand Prix,13,7,MON,Juan,Pablo Montoya,Colombian,2,Finished,+55.347,Williams
2004,17,Japanese Grand Prix,7,8,FIS,Giancarlo,Fisichella,Italian,1,Finished,+56.276,Sauber
2004,17,Japanese Grand Prix,19,9,MAS,Felipe,Massa,Brazilian,0,Finished,+1:29.656,Sauber
2004,17,Japanese Grand Prix,9,10,VIL,Jacques,Villeneuve,Canadian,0,+1 Lap,,Renault
2004,17,Japanese Grand Prix,6,11,TRU,Jarno,Trulli,Italian,0,+1 Lap,,Toyota
2004,17,Japanese Grand Prix,14,12,KLI,Christian,Klien,Austrian,0,+1 Lap,,Jaguar
2004,17,Japanese Grand Prix,16,13,HEI,Nick,Heidfeld,German,0,+1 Lap,,Jordan
2004,17,Japanese Grand Prix,10,14,,Olivier,Panis,French,0,+2 Laps,,Toyota
2004,17,Japanese Grand Prix,17,15,GLO,Timo,Glock,German,0,+2 Laps,,Jordan
2004,17,Japanese Grand Prix,18,16,,Gianmaria,Bruni,Italian,0,+3 Laps,,Minardi
2004,17,Japanese Grand Prix,20,17,,Zsolt,Baumgartner,Hungarian,0,Spun off,,Minardi
2004,17,Japanese Grand Prix,8,18,COU,David,Coulthard,British,0,Collision,,McLaren
2004,17,Japanese Grand Prix,15,19,BAR,Rubens,Barrichello,Brazilian,0,Collision,,Ferrari
2004,17,Japanese Grand Prix,3,20,WEB,Mark,Webber,Australian,0,Overheating,,Jaguar
