Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2004,4,San Marino Grand Prix,2,1,MSC,Michael,Schumacher,German,10,Finished,1:26:19.670,Ferrari
2004,4,San Marino Grand Prix,1,2,BUT,Jenson,Button,British,8,Finished,+9.702,BAR
2004,4,San Marino Grand Prix,3,3,MON,Juan,Pablo Montoya,Colombian,6,Finished,+21.617,Williams
2004,4,San Marino Grand Prix,6,4,ALO,Fernando,Alonso,Spanish,5,Finished,+23.654,Renault
2004,4,San Marino Grand Prix,9,5,TRU,Jarno,Trulli,Italian,4,Finished,+36.216,Renault
2004,4,San Marino Grand Prix,4,6,BAR,Rubens,Barrichello,Brazilian,3,Finished,+36.683,Ferrari
2004,4,San Marino Grand Prix,5,7,SCH,Ralf,Schumacher,German,2,Finished,+55.730,Williams
2004,4,San Marino Grand Prix,20,8,RAI,Kimi,Räikkönen,Finnish,1,+1 Lap,,McLaren
2004,4,San Marino Grand Prix,18,9,FIS,Giancarlo,Fisichella,Italian,0,+1 Lap,,Sauber
2004,4,San Marino Grand Prix,12,10,MAS,Felipe,Massa,Brazilian,0,+1 Lap,,Sauber
2004,4,San Marino Grand Prix,13,11,,Olivier,Panis,French,0,+1 Lap,,Toyota
2004,4,San Marino Grand Prix,11,12,COU,David,Coulthard,British,0,+1 Lap,,McLaren
2004,4,San Marino Grand Prix,8,13,WEB,Mark,Webber,Australian,0,+1 Lap,,Jaguar
2004,4,San Marino Grand Prix,14,14,KLI,Christian,Klien,Austrian,0,+2 Laps,,Jaguar
2004,4,San Marino Grand Prix,19,15,,Zsolt,Baumgartner,Hungarian,0,+4 Laps,,Minardi
2004,4,San Marino Grand Prix,7,16,SAT,Takuma,Sato,Japanese,0,Engine,,BAR
2004,4,San Marino Grand Prix,16,17,HEI,Nick,Heidfeld,German,0,Driveshaft,,Jordan
2004,4,San Marino Grand Prix,10,18,,Cristiano,da Matta,Brazilian,0,Accident,,Toyota
2004,4,San Marino Grand Prix,17,19,,Gianmaria,Bruni,Italian,0,Brakes,,Minardi
2004,4,San Marino Grand Prix,15,20,,Giorgio,Pantano,Italian,0,Hydraulics,,Jordan
