Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2004,6,Monaco Grand Prix,1,1,TRU,Jarno,Trulli,Italian,10,Finished,1:45:46.601,Renault
2004,6,Monaco Grand Prix,2,2,BUT,Jenson,Button,British,8,Finished,+0.497,BAR
2004,6,Monaco Grand Prix,6,3,BAR,Rubens,Barrichello,Brazilian,6,Finished,+1:15.766,Ferrari
2004,6,Monaco Grand Prix,9,4,MON,Juan,Pablo Montoya,Colombian,5,+1 Lap,,Williams
2004,6,Monaco Grand Prix,16,5,MAS,Felipe,Massa,Brazilian,4,+1 Lap,,Sauber
2004,6,Monaco Grand Prix,15,6,,Cristiano,da Matta,Brazilian,3,+1 Lap,,Toyota
2004,6,Monaco Grand Prix,17,7,HEI,Nick,Heidfeld,German,2,+2 Laps,,Jordan
2004,6,Monaco Grand Prix,13,8,,Olivier,Panis,French,1,+3 Laps,,Toyota
2004,6,Monaco Grand Prix,19,9,,Zsolt,Baumgartner,Hungarian,0,+6 Laps,,Minardi
2004,6,Monaco Grand Prix,12,10,SCH,Ralf,Schumacher,German,0,Gearbox,,Williams
2004,6,Monaco Grand Prix,4,11,MSC,Michael,Schumacher,German,0,Collision,,Ferrari
2004,6,Monaco Grand Prix,3,12,ALO,Fernando,Alonso,Spanish,0,Accident,,Renault
2004,6,Monaco Grand Prix,5,13,RAI,Kimi,Räikkönen,Finnish,0,Pneumatics,,McLaren
2004,6,Monaco Grand Prix,20,14,,Gianmaria,Bruni,Italian,0,Gearbox,,Minardi
2004,6,Monaco Grand Prix,18,15,,Giorgio,Pantano,Italian,0,Transmission,,Jordan
2004,6,Monaco Grand Prix,11,16,WEB,Mark,Webber,Australian,0,Gearbox,,Jaguar
2004,6,Monaco Grand Prix,7,17,SAT,Takuma,Sato,Japanese,0,Engine,,BAR
2004,6,Monaco Grand Prix,8,18,COU,David,Coulthard,British,0,Collision,,McLaren
2004,6,Monaco Grand Prix,10,19,FIS,Giancarlo,Fisichella,Italian,0,Collision,,Sauber
2004,6,Monaco Grand Prix,14,20,KLI,Christian,Klien,Austrian,0,Accident,,Jaguar
