Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2004,9,United States Grand Prix,2,1,MSC,Michael,Schumacher,German,10,Finished,1:40:29.914,Ferrari
2004,9,United States Grand Prix,1,2,BAR,Rubens,Barrichello,Brazilian,8,Finished,+2.950,Ferrari
2004,9,United States Grand Prix,3,3,SAT,Takuma,Sato,Japanese,6,Finished,+22.036,BAR
2004,9,United States Grand Prix,20,4,TRU,Jarno,Trulli,Italian,5,Finished,+34.544,Renault
2004,9,United States Grand Prix,8,5,,Olivier,Panis,French,4,Finished,+37.534,Toyota
2004,9,United States Grand Prix,7,6,RAI,Kimi,Räikkönen,Finnish,3,+1 Lap,,McLaren
2004,9,United States Grand Prix,12,7,COU,David,Coulthard,British,2,+1 Lap,,McLaren
2004,9,United States Grand Prix,19,8,,Zsolt,Baumgartner,Hungarian,1,+3 Laps,,Minardi
2004,9,United States Grand Prix,14,9,FIS,Giancarlo,Fisichella,Italian,0,+8 Laps,,Sauber
2004,9,United States Grand Prix,10,10,WEB,Mark,Webber,Australian,0,Engine,,Jaguar
2004,9,United States Grand Prix,5,11,MON,Juan,Pablo Montoya,Colombian,0,Disqualified,,Williams
2004,9,United States Grand Prix,16,12,HEI,Nick,Heidfeld,German,0,Engine,,Jordan
2004,9,United States Grand Prix,4,13,BUT,Jenson,Button,British,0,Gearbox,,BAR
2004,9,United States Grand Prix,11,14,,Cristiano,da Matta,Brazilian,0,Gearbox,,Toyota
2004,9,United States Grand Prix,6,15,SCH,Ralf,Schumacher,German,0,Tyre,,Williams
2004,9,United States Grand Prix,9,16,ALO,Fernando,Alonso,Spanish,0,Tyre,,Renault
2004,9,United States Grand Prix,13,17,KLI,Christian,Klien,Austrian,0,Collision,,Jaguar
2004,9,United States Grand Prix,15,18,MAS,Felipe,Massa,Brazilian,0,Collision,,Sauber
2004,9,United States Grand Prix,17,19,,Giorgio,Pantano,Italian,0,Collision,,Jordan
2004,9,United States Grand Prix,18,20,,Gianmaria,Bruni,Italian,0,Collision,,Minardi
