Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2005,10,French Grand Prix,1,1,ALO,Fernando,Alonso,Spanish,10,Finished,1:31:22.232,Renault
2005,10,French Grand Prix,13,2,RAI,Kimi,Räikkönen,Finnish,8,Finished,+11.8,McLaren
2005,10,French Grand Prix,3,3,MSC,Michael,Schumacher,German,6,Finished,+1:21.9,Ferrari
2005,10,French Grand Prix,7,4,BUT,Jenson,Button,British,5,+1 Lap,,BAR
2005,10,French Grand Prix,2,5,TRU,Jarno,Trulli,Italian,4,+1 Lap,,Toyota
2005,10,French Grand Prix,6,6,FIS,Giancarlo,Fisichella,Italian,3,+1 Lap,,Renault
2005,10,French Grand Prix,11,7,SCH,Ralf,Schumacher,German,2,+1 Lap,,Toyota
2005,10,French Grand Prix,10,8,VIL,Jacques,Villeneuve,Canadian,1,+1 Lap,,Sauber
2005,10,French Grand Prix,5,9,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Ferrari
2005,10,French Grand Prix,15,10,COU,David,Coulthard,British,0,+1 Lap,,Red Bull
2005,10,French Grand Prix,4,11,SAT,Takuma,Sato,Japanese,0,+1 Lap,,BAR
2005,10,French Grand Prix,12,12,WEB,Mark,Webber,Australian,0,+2 Laps,,Williams
2005,10,French Grand Prix,19,13,TMO,Tiago,Monteiro,Portuguese,0,+3 Laps,,Jordan
2005,10,French Grand Prix,14,14,HEI,Nick,Heidfeld,German,0,+4 Laps,,Williams
2005,10,French Grand Prix,17,15,KAR,Narain,Karthikeyan,Indian,0,+4 Laps,,Jordan
2005,10,French Grand Prix,8,16,MON,Juan,Pablo Montoya,Colombian,0,Engine,,McLaren
2005,10,French Grand Prix,20,17,ALB,Christijan,Albers,Dutch,0,Puncture,,Minardi
2005,10,French Grand Prix,18,18,FRI,Patrick,Friesacher,Austrian,0,Puncture,,Minardi
2005,10,French Grand Prix,9,19,MAS,Felipe,Massa,Brazilian,0,Hydraulics,,Sauber
2005,10,French Grand Prix,16,20,KLI,Christian,Klien,Austrian,0,Fuel pressure,,Red Bull
