Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2005,11,British Grand Prix,3,1,MON,Juan,Pablo Montoya,Colombian,10,Finished,1:24:29.588,McLaren
2005,11,British Grand Prix,1,2,ALO,Fernando,Alonso,Spanish,8,Finished,+2.7,Renault
2005,11,British Grand Prix,12,3,RAI,Kimi,Räikkönen,Finnish,6,Finished,+14.4,McLaren
2005,11,British Grand Prix,6,4,FIS,Giancarlo,Fisichella,Italian,5,Finished,+17.9,Renault
2005,11,British Grand Prix,2,5,BUT,Jenson,Button,British,4,Finished,+40.3,BAR
2005,11,British Grand Prix,9,6,MSC,Michael,Schumacher,German,3,Finished,+1:15.3,Ferrari
2005,11,British Grand Prix,5,7,BAR,Rubens,Barrichello,Brazilian,2,Finished,+1:16.6,Ferrari
2005,11,British Grand Prix,8,8,SCH,Ralf,Schumacher,German,1,Finished,+1:19.2,Toyota
2005,11,British Grand Prix,4,9,TRU,Jarno,Trulli,Italian,0,Finished,+1:20.9,Toyota
2005,11,British Grand Prix,16,10,MAS,Felipe,Massa,Brazilian,0,+1 Lap,,Sauber
2005,11,British Grand Prix,11,11,WEB,Mark,Webber,Australian,0,+1 Lap,,Williams
2005,11,British Grand Prix,14,12,HEI,Nick,Heidfeld,German,0,+1 Lap,,Williams
2005,11,British Grand Prix,13,13,COU,David,Coulthard,British,0,+1 Lap,,Red Bull
2005,11,British Grand Prix,10,14,VIL,Jacques,Villeneuve,Canadian,0,+1 Lap,,Sauber
2005,11,British Grand Prix,15,15,KLI,Christian,Klien,Austrian,0,+1 Lap,,Red Bull
2005,11,British Grand Prix,7,16,SAT,Takuma,Sato,Japanese,0,+2 Laps,,BAR
2005,11,British Grand Prix,20,17,TMO,Tiago,Monteiro,Portuguese,0,+2 Laps,,Jordan
2005,11,British Grand Prix,18,18,ALB,Christijan,Albers,Dutch,0,+3 Laps,,Minardi
2005,11,British Grand Prix,19,19,FRI,Patrick,Friesacher,Austrian,0,+4 Laps,,Minardi
2005,11,British Grand Prix,17,20,KAR,Narain,Karthikeyan,Indian,0,Electrical,,Jordan
