Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2005,13,Hungarian Grand Prix,4,1,RAI,Kimi,Räikkönen,Finnish,10,Finished,1:37:25.552,McLaren
2005,13,Hungarian Grand Prix,1,2,MSC,Michael,Schumacher,German,8,Finished,+35.581,Ferrari
2005,13,Hungarian Grand Prix,5,3,SCH,Ralf,Schumacher,German,6,Finished,+36.129,Toyota
2005,13,Hungarian Grand Prix,3,4,TRU,Jarno,Trulli,Italian,5,Finished,+54.221,Toyota
2005,13,Hungarian Grand Prix,8,5,BUT,Jenson,Button,British,4,Finished,+58.832,BAR
2005,13,Hungarian Grand Prix,12,6,HEI,Nick,Heidfeld,German,3,Finished,+1:08.375,Williams
2005,13,Hungarian Grand Prix,16,7,WEB,Mark,Webber,Australian,2,+1 Lap,,Williams
2005,13,Hungarian Grand Prix,10,8,SAT,Takuma,Sato,Japanese,1,+1 Lap,,BAR
2005,13,Hungarian Grand Prix,9,9,FIS,Giancarlo,Fisichella,Italian,0,+1 Lap,,Renault
2005,13,Hungarian Grand Prix,7,10,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Ferrari
2005,13,Hungarian Grand Prix,6,11,ALO,Fernando,Alonso,Spanish,0,+1 Lap,,Renault
2005,13,Hungarian Grand Prix,18,12,KAR,Narain,Karthikeyan,Indian,0,+3 Laps,,Jordan
2005,13,Hungarian Grand Prix,20,13,TMO,Tiago,Monteiro,Portuguese,0,+4 Laps,,Jordan
2005,13,Hungarian Grand Prix,14,14,MAS,Felipe,Massa,Brazilian,0,+7 Laps,,Sauber
2005,13,Hungarian Grand Prix,17,15,ALB,Christijan,Albers,Dutch,0,+11 Laps,,Minardi
2005,13,Hungarian Grand Prix,15,16,VIL,Jacques,Villeneuve,Canadian,0,Engine fire,,Sauber
2005,13,Hungarian Grand Prix,2,17,MON,Juan,Pablo Montoya,Colombian,0,Driveshaft,,McLaren
2005,13,Hungarian Grand Prix,19,18,DOO,Robert,Doornbos,Dutch,0,Hydraulics,,Minardi
2005,13,Hungarian Grand Prix,13,19,COU,David,Coulthard,British,0,Accident,,Red Bull
2005,13,Hungarian Grand Prix,11,20,KLI,Christian,Klien,Austrian,0,Accident,,Red Bull
