Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2005,14,Turkish Grand Prix,1,1,RAI,Kimi,Räikkönen,Finnish,10,Finished,1:24:34.454,McLaren
2005,14,Turkish Grand Prix,3,2,ALO,Fernando,Alonso,Spanish,8,Finished,+18.609,Renault
2005,14,Turkish Grand Prix,4,3,MON,Juan,Pablo Montoya,Colombian,6,Finished,+19.635,McLaren
2005,14,Turkish Grand Prix,2,4,FIS,Giancarlo,Fisichella,Italian,5,Finished,+37.973,Renault
2005,14,Turkish Grand Prix,13,5,BUT,Jenson,Button,British,4,Finished,+39.304,BAR
2005,14,Turkish Grand Prix,5,6,TRU,Jarno,Trulli,Italian,3,Finished,+55.420,Toyota
2005,14,Turkish Grand Prix,12,7,COU,David,Coulthard,British,2,Finished,+1:09.292,Red Bull
2005,14,Turkish Grand Prix,10,8,KLI,Christian,Klien,Austrian,1,Finished,+1:11.622,Red Bull
2005,14,Turkish Grand Prix,20,9,SAT,Takuma,Sato,Japanese,0,Finished,+1:19.987,BAR
2005,14,Turkish Grand Prix,11,10,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Ferrari
2005,14,Turkish Grand Prix,16,11,VIL,Jacques,Villeneuve,Canadian,0,+1 Lap,,Sauber
2005,14,Turkish Grand Prix,9,12,SCH,Ralf,Schumacher,German,0,+1 Lap,,Toyota
2005,14,Turkish Grand Prix,17,13,DOO,Robert,Doornbos,Dutch,0,+3 Laps,,Minardi
2005,14,Turkish Grand Prix,18,14,KAR,Narain,Karthikeyan,Indian,0,+3 Laps,,Jordan
2005,14,Turkish Grand Prix,14,15,TMO,Tiago,Monteiro,Portuguese,0,+3 Laps,,Jordan
2005,14,Turkish Grand Prix,15,16,ALB,Christijan,Albers,Dutch,0,Retired,,Minardi
2005,14,Turkish Grand Prix,19,17,MSC,Michael,Schumacher,German,0,Retired,,Ferrari
2005,14,Turkish Grand Prix,6,18,HEI,Nick,Heidfeld,German,0,Tyre,,Williams
2005,14,Turkish Grand Prix,8,19,MAS,Felipe,Massa,Brazilian,0,Engine,,Sauber
2005,14,Turkish Grand Prix,7,20,WEB,Mark,Webber,Australian,0,Tyre,,Williams
