Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2005,3,Bahrain Grand Prix,1,1,ALO,Fernando,Alonso,Spanish,10,Finished,1:29:18.531,Renault
2005,3,Bahrain Grand Prix,3,2,TRU,Jarno,Trulli,Italian,8,Finished,+13.409,Toyota
2005,3,Bahrain Grand Prix,9,3,RAI,Kimi,Räikkönen,Finnish,6,Finished,+32.063,McLaren
2005,3,Bahrain Grand Prix,6,4,SCH,Ralf,Schumacher,German,5,Finished,+53.272,Toyota
2005,3,Bahrain Grand Prix,8,5,DLR,Pedro,de la Rosa,Spanish,4,Finished,+1:04.988,McLaren
2005,3,Bahrain Grand Prix,5,6,WEB,Mark,Webber,Australian,3,Finished,+1:14.701,Williams
2005,3,Bahrain Grand Prix,12,7,MAS,Felipe,Massa,Brazilian,2,+1 Lap,,Sauber
2005,3,Bahrain Grand Prix,14,8,COU,David,Coulthard,British,1,+1 Lap,,Red Bull
2005,3,Bahrain Grand Prix,20,9,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Ferrari
2005,3,Bahrain Grand Prix,16,10,TMO,Tiago,Monteiro,Portuguese,0,+2 Laps,,Jordan
2005,3,Bahrain Grand Prix,15,11,VIL,Jacques,Villeneuve,Canadian,0,Suspension,,Sauber
2005,3,Bahrain Grand Prix,19,12,FRI,Patrick,Friesacher,Austrian,0,+3 Laps,,Minardi
2005,3,Bahrain Grand Prix,18,13,ALB,Christijan,Albers,Dutch,0,+4 Laps,,Minardi
2005,3,Bahrain Grand Prix,11,14,BUT,Jenson,Button,British,0,Clutch,,BAR
2005,3,Bahrain Grand Prix,13,15,SAT,Takuma,Sato,Japanese,0,Brakes,,BAR
2005,3,Bahrain Grand Prix,4,16,HEI,Nick,Heidfeld,German,0,Engine,,Williams
2005,3,Bahrain Grand Prix,2,17,MSC,Michael,Schumacher,German,0,Hydraulics,,Ferrari
2005,3,Bahrain Grand Prix,10,18,FIS,Giancarlo,Fisichella,Italian,0,Engine,,Renault
2005,3,Bahrain Grand Prix,17,19,KAR,Narain,Karthikeyan,Indian,0,Electrical,,Jordan
2005,3,Bahrain Grand Prix,7,20,KLI,Christian,Klien,Austrian,0,Electrical,,Red Bull
