Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2005,7,European Grand Prix,6,1,ALO,Fernando,Alonso,Spanish,10,Finished,1:31:46.648,Renault
2005,7,European Grand Prix,1,2,HEI,Nick,Heidfeld,German,8,Finished,+16.567,Williams
2005,7,European Grand Prix,7,3,BAR,Rubens,Barrichello,Brazilian,6,Finished,+18.549,Ferrari
2005,7,European Grand Prix,12,4,COU,David,Coulthard,British,5,Finished,+31.588,Red Bull
2005,7,European Grand Prix,10,5,MSC,Michael,Schumacher,German,4,Finished,+50.445,Ferrari
2005,7,European Grand Prix,9,6,FIS,Giancarlo,Fisichella,Italian,3,Finished,+51.932,Renault
2005,7,European Grand Prix,5,7,MON,Juan,Pablo Montoya,Colombian,2,Finished,+58.173,McLaren
2005,7,European Grand Prix,4,8,TRU,Jarno,Trulli,Italian,1,Finished,+1:11.091,Toyota
2005,7,European Grand Prix,14,9,LIU,Vitantonio,Liuzzi,Italian,0,Finished,+1:11.529,Red Bull
2005,7,European Grand Prix,13,10,BUT,Jenson,Button,British,0,Finished,+1:35.786,BAR
2005,7,European Grand Prix,2,11,RAI,Kimi,Räikkönen,Finnish,0,Accident,,McLaren
2005,7,European Grand Prix,16,12,SAT,Takuma,Sato,Japanese,0,+1 Lap,,BAR
2005,7,European Grand Prix,15,13,VIL,Jacques,Villeneuve,Canadian,0,+1 Lap,,Sauber
2005,7,European Grand Prix,11,14,MAS,Felipe,Massa,Brazilian,0,+1 Lap,,Sauber
2005,7,European Grand Prix,17,15,TMO,Tiago,Monteiro,Portuguese,0,+1 Lap,,Jordan
2005,7,European Grand Prix,19,16,KAR,Narain,Karthikeyan,Indian,0,+1 Lap,,Jordan
2005,7,European Grand Prix,20,17,ALB,Christijan,Albers,Dutch,0,+2 Laps,,Minardi
2005,7,European Grand Prix,18,18,FRI,Patrick,Friesacher,Austrian,0,+3 Laps,,Minardi
2005,7,European Grand Prix,8,19,SCH,Ralf,Schumacher,German,0,Spun off,,Toyota
2005,7,European Grand Prix,3,20,WEB,Mark,Webber,Australian,0,Accident,,Williams
