Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2006,3,Australian Grand Prix,3,1,ALO,Fernando,Alonso,Spanish,10,Finished,1:34:27.870,Renault
2006,3,Australian Grand Prix,4,2,RAI,Kimi,Räikkönen,Finnish,8,Finished,+1.8,McLaren
2006,3,Australian Grand Prix,6,3,SCH,Ralf,Schumacher,German,6,Finished,+24.8,Toyota
2006,3,Australian Grand Prix,8,4,HEI,Nick,Heidfeld,German,5,Finished,+31.0,BMW Sauber
2006,3,Australian Grand Prix,2,5,FIS,Giancarlo,Fisichella,Italian,4,Finished,+38.1,Renault
2006,3,Australian Grand Prix,19,6,VIL,Jacques,Villeneuve,Canadian,3,Finished,+49.5,BMW Sauber
2006,3,Australian Grand Prix,16,7,BAR,Rubens,Barrichello,Brazilian,2,Finished,+51.9,Honda
2006,3,Australian Grand Prix,11,8,COU,David,Coulthard,British,1,Finished,+53.9,Red Bull
2006,3,Australian Grand Prix,18,9,SPE,Scott,Speed,American,0,Finished,+78.8,Toro Rosso
2006,3,Australian Grand Prix,1,10,BUT,Jenson,Button,British,0,+1 Lap,,Honda
2006,3,Australian Grand Prix,17,11,ALB,Christijan,Albers,Dutch,0,+1 Lap,,MF1
2006,3,Australian Grand Prix,21,12,SAT,Takuma,Sato,Japanese,0,+2 Laps,,Super Aguri
2006,3,Australian Grand Prix,22,13,IDE,Yuji,Ide,Japanese,0,+3 Laps,,Super Aguri
2006,3,Australian Grand Prix,5,14,MON,Juan,Pablo Montoya,Colombian,0,Electrical,,McLaren
2006,3,Australian Grand Prix,20,15,TMO,Tiago,Monteiro,Portuguese,0,Mechanical,,MF1
2006,3,Australian Grand Prix,12,16,LIU,Vitantonio,Liuzzi,Italian,0,Accident,,Toro Rosso
2006,3,Australian Grand Prix,10,17,MSC,Michael,Schumacher,German,0,Accident,,Ferrari
2006,3,Australian Grand Prix,7,18,WEB,Mark,Webber,Australian,0,Transmission,,Williams
2006,3,Australian Grand Prix,13,19,KLI,Christian,Klien,Austrian,0,Accident,,Red Bull
2006,3,Australian Grand Prix,9,20,TRU,Jarno,Trulli,Italian,0,Accident,,Toyota
2006,3,Australian Grand Prix,14,21,ROS,Nico,Rosberg,German,0,Accident,,Williams
2006,3,Australian Grand Prix,15,22,MAS,Felipe,Massa,Brazilian,0,Accident,,Ferrari
