Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2006,5,European Grand Prix,2,1,MSC,Michael,Schumacher,German,10,Finished,1:35:58.765,Ferrari
2006,5,European Grand Prix,1,2,ALO,Fernando,Alonso,Spanish,8,Finished,+3.751,Renault
2006,5,European Grand Prix,3,3,MAS,Felipe,Massa,Brazilian,6,Finished,+4.447,Ferrari
2006,5,European Grand Prix,5,4,RAI,Kimi,Räikkönen,Finnish,5,Finished,+4.879,McLaren
2006,5,European Grand Prix,4,5,BAR,Rubens,Barrichello,Brazilian,4,Finished,+1:12.586,Honda
2006,5,European Grand Prix,11,6,FIS,Giancarlo,Fisichella,Italian,3,Finished,+1:14.116,Renault
2006,5,European Grand Prix,22,7,ROS,Nico,Rosberg,German,2,Finished,+1:14.565,Williams
2006,5,European Grand Prix,9,8,VIL,Jacques,Villeneuve,Canadian,1,Finished,+1:29.364,BMW Sauber
2006,5,European Grand Prix,7,9,TRU,Jarno,Trulli,Italian,0,+1 Lap,,Toyota
2006,5,European Grand Prix,13,10,HEI,Nick,Heidfeld,German,0,+1 Lap,,BMW Sauber
2006,5,European Grand Prix,17,11,SPE,Scott,Speed,American,0,+1 Lap,,Toro Rosso
2006,5,European Grand Prix,18,12,TMO,Tiago,Monteiro,Portuguese,0,+1 Lap,,MF1
2006,5,European Grand Prix,16,13,ALB,Christijan,Albers,Dutch,0,+1 Lap,,MF1
2006,5,European Grand Prix,10,14,SCH,Ralf,Schumacher,German,0,Engine,,Toyota
2006,5,European Grand Prix,8,15,MON,Juan,Pablo Montoya,Colombian,0,Engine,,McLaren
2006,5,European Grand Prix,20,16,SAT,Takuma,Sato,Japanese,0,Hydraulics,,Super Aguri
2006,5,European Grand Prix,21,17,FMO,Franck,Montagny,French,0,Hydraulics,,Super Aguri
2006,5,European Grand Prix,6,18,BUT,Jenson,Button,British,0,Engine,,Honda
2006,5,European Grand Prix,15,19,KLI,Christian,Klien,Austrian,0,Gearbox,,Red Bull
2006,5,European Grand Prix,19,20,WEB,Mark,Webber,Australian,0,Hydraulics,,Williams
2006,5,European Grand Prix,12,21,COU,David,Coulthard,British,0,Accident,,Red Bull
2006,5,European Grand Prix,14,22,LIU,Vitantonio,Liuzzi,Italian,0,Accident,,Toro Rosso
