Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2006,8,British Grand Prix,1,1,ALO,Fernando,Alonso,Spanish,10,Finished,1:25:51.927,Renault
2006,8,British Grand Prix,3,2,MSC,Michael,Schumacher,German,8,Finished,+13.951,Ferrari
2006,8,British Grand Prix,2,3,RAI,Kimi,Räikkönen,Finnish,6,Finished,+18.672,McLaren
2006,8,British Grand Prix,5,4,FIS,Giancarlo,Fisichella,Italian,5,Finished,+19.976,Renault
2006,8,British Grand Prix,4,5,MAS,Felipe,Massa,Brazilian,4,Finished,+31.559,Ferrari
2006,8,British Grand Prix,8,6,MON,Juan,Pablo Montoya,Colombian,3,Finished,+1:04.769,McLaren
2006,8,British Grand Prix,9,7,HEI,Nick,Heidfeld,German,2,Finished,+1:14.594,BMW Sauber
2006,8,British Grand Prix,10,8,VIL,Jacques,Villeneuve,Canadian,1,Finished,+1:18.299,BMW Sauber
2006,8,British Grand Prix,12,9,ROS,Nico,Rosberg,German,0,Finished,+1:19.008,Williams
2006,8,British Grand Prix,6,10,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Honda
2006,8,British Grand Prix,22,11,TRU,Jarno,Trulli,Italian,0,+1 Lap,,Toyota
2006,8,British Grand Prix,11,12,COU,David,Coulthard,British,0,+1 Lap,,Red Bull
2006,8,British Grand Prix,13,13,LIU,Vitantonio,Liuzzi,Italian,0,+1 Lap,,Toro Rosso
2006,8,British Grand Prix,14,14,KLI,Christian,Klien,Austrian,0,+1 Lap,,Red Bull
2006,8,British Grand Prix,18,15,ALB,Christijan,Albers,Dutch,0,+1 Lap,,MF1
2006,8,British Grand Prix,16,16,TMO,Tiago,Monteiro,Portuguese,0,+2 Laps,,MF1
2006,8,British Grand Prix,20,17,SAT,Takuma,Sato,Japanese,0,+3 Laps,,Super Aguri
2006,8,British Grand Prix,21,18,FMO,Franck,Montagny,French,0,+3 Laps,,Super Aguri
2006,8,British Grand Prix,19,19,BUT,Jenson,Button,British,0,Oil leak,,Honda
2006,8,British Grand Prix,15,20,SPE,Scott,Speed,American,0,Accident,,Toro Rosso
2006,8,British Grand Prix,7,21,SCH,Ralf,Schumacher,German,0,Accident,,Toyota
2006,8,British Grand Prix,17,22,WEB,Mark,Webber,Australian,0,Accident,,Williams
