Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2007,10,European Grand Prix,2,1,ALO,Fernando,Alonso,Spanish,10,Finished,2:06:26.358,McLaren
2007,10,European Grand Prix,3,2,MAS,Felipe,Massa,Brazilian,8,Finished,+8.155,Ferrari
2007,10,European Grand Prix,6,3,WEB,Mark,Webber,Australian,6,Finished,+1:05.674,Red Bull
2007,10,European Grand Prix,12,4,WUR,Alexander,Wurz,Austrian,5,Finished,+1:05.937,Williams
2007,10,European Grand Prix,20,5,COU,David,Coulthard,British,4,Finished,+1:13.656,Red Bull
2007,10,European Grand Prix,4,6,HEI,Nick,Heidfeld,German,3,Finished,+1:20.298,BMW Sauber
2007,10,European Grand Prix,5,7,KUB,Robert,Kubica,Polish,2,Finished,+1:22.415,BMW Sauber
2007,10,European Grand Prix,7,8,KOV,Heikki,Kovalainen,Finnish,1,+1 Lap,,Renault
2007,10,European Grand Prix,10,9,HAM,Lewis,Hamilton,British,0,+1 Lap,,McLaren
2007,10,European Grand Prix,13,10,FIS,Giancarlo,Fisichella,Italian,0,+1 Lap,,Renault
2007,10,European Grand Prix,14,11,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Honda
2007,10,European Grand Prix,15,12,DAV,Anthony,Davidson,British,0,+1 Lap,,Super Aguri
2007,10,European Grand Prix,8,13,TRU,Jarno,Trulli,Italian,0,+1 Lap,,Toyota
2007,10,European Grand Prix,1,14,RAI,Kimi,Räikkönen,Finnish,0,Hydraulics,,Ferrari
2007,10,European Grand Prix,16,15,SAT,Takuma,Sato,Japanese,0,Retired,,Super Aguri
2007,10,European Grand Prix,9,16,SCH,Ralf,Schumacher,German,0,Collision,,Toyota
2007,10,European Grand Prix,22,17,WIN,Markus,Winkelhock,German,0,Hydraulics,,Spyker
2007,10,European Grand Prix,17,18,BUT,Jenson,Button,British,0,Spun off,,Honda
2007,10,European Grand Prix,21,19,SUT,Adrian,Sutil,German,0,Spun off,,Spyker
2007,10,European Grand Prix,11,20,ROS,Nico,Rosberg,German,0,Spun off,,Williams
2007,10,European Grand Prix,18,21,SPE,Scott,Speed,American,0,Spun off,,Toro Rosso
2007,10,European Grand Prix,19,22,LIU,Vitantonio,Liuzzi,Italian,0,Spun off,,Toro Rosso
