Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2007,12,Turkish Grand Prix,1,1,MAS,Felipe,Massa,Brazilian,10,Finished,1:26:42.161,Ferrari
2007,12,Turkish Grand Prix,3,2,RAI,Kimi,Räikkönen,Finnish,8,Finished,+2.275,Ferrari
2007,12,Turkish Grand Prix,4,3,ALO,Fernando,Alonso,Spanish,6,Finished,+26.181,McLaren
2007,12,Turkish Grand Prix,6,4,HEI,Nick,Heidfeld,German,5,Finished,+39.674,BMW Sauber
2007,12,Turkish Grand Prix,2,5,HAM,Lewis,Hamilton,British,4,Finished,+45.085,McLaren
2007,12,Turkish Grand Prix,7,6,KOV,Heikki,Kovalainen,Finnish,3,Finished,+46.169,Renault
2007,12,Turkish Grand Prix,8,7,ROS,Nico,Rosberg,German,2,Finished,+55.778,Williams
2007,12,Turkish Grand Prix,5,8,KUB,Robert,Kubica,Polish,1,Finished,+56.707,BMW Sauber
2007,12,Turkish Grand Prix,10,9,FIS,Giancarlo,Fisichella,Italian,0,Finished,+59.491,Renault
2007,12,Turkish Grand Prix,13,10,COU,David,Coulthard,British,0,Finished,+1:11.009,Red Bull
2007,12,Turkish Grand Prix,14,11,WUR,Alexander,Wurz,Austrian,0,Finished,+1:19.628,Williams
2007,12,Turkish Grand Prix,16,12,SCH,Ralf,Schumacher,German,0,+1 Lap,,Toyota
2007,12,Turkish Grand Prix,21,13,BUT,Jenson,Button,British,0,+1 Lap,,Honda
2007,12,Turkish Grand Prix,11,14,DAV,Anthony,Davidson,British,0,+1 Lap,,Super Aguri
2007,12,Turkish Grand Prix,15,15,LIU,Vitantonio,Liuzzi,Italian,0,+1 Lap,,Toro Rosso
2007,12,Turkish Grand Prix,9,16,TRU,Jarno,Trulli,Italian,0,+1 Lap,,Toyota
2007,12,Turkish Grand Prix,22,17,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Honda
2007,12,Turkish Grand Prix,17,18,SAT,Takuma,Sato,Japanese,0,+1 Lap,,Super Aguri
2007,12,Turkish Grand Prix,18,19,VET,Sebastian,Vettel,German,0,+1 Lap,,Toro Rosso
2007,12,Turkish Grand Prix,20,20,YAM,Sakon,Yamamoto,Japanese,0,+2 Laps,,Spyker
2007,12,Turkish Grand Prix,19,21,SUT,Adrian,Sutil,German,0,Fuel pressure,,Spyker
2007,12,Turkish Grand Prix,12,22,WEB,Mark,Webber,Australian,0,Hydraulics,,Red Bull
