Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2007,16,Chinese Grand Prix,2,1,RAI,Kimi,Räikkönen,Finnish,10,Finished,1:37:58.395,Ferrari
2007,16,Chinese Grand Prix,4,2,ALO,Fernando,Alonso,Spanish,8,Finished,+9.806,McLaren
2007,16,Chinese Grand Prix,3,3,MAS,Felipe,Massa,Brazilian,6,Finished,+12.891,Ferrari
2007,16,Chinese Grand Prix,17,4,VET,Sebastian,Vettel,German,5,Finished,+53.509,Toro Rosso
2007,16,Chinese Grand Prix,10,5,BUT,Jenson,Button,British,4,Finished,+1:08.666,Honda
2007,16,Chinese Grand Prix,11,6,LIU,Vitantonio,Liuzzi,Italian,3,Finished,+1:13.673,Toro Rosso
2007,16,Chinese Grand Prix,8,7,HEI,Nick,Heidfeld,German,2,Finished,+1:14.224,BMW Sauber
2007,16,Chinese Grand Prix,5,8,COU,David,Coulthard,British,1,Finished,+1:20.750,Red Bull
2007,16,Chinese Grand Prix,13,9,KOV,Heikki,Kovalainen,Finnish,0,Finished,+1:21.186,Renault
2007,16,Chinese Grand Prix,7,10,WEB,Mark,Webber,Australian,0,Finished,+1:24.685,Red Bull
2007,16,Chinese Grand Prix,18,11,FIS,Giancarlo,Fisichella,Italian,0,Finished,+1:26.683,Renault
2007,16,Chinese Grand Prix,19,12,WUR,Alexander,Wurz,Austrian,0,+1 Lap,,Williams
2007,16,Chinese Grand Prix,12,13,TRU,Jarno,Trulli,Italian,0,+1 Lap,,Toyota
2007,16,Chinese Grand Prix,20,14,SAT,Takuma,Sato,Japanese,0,+1 Lap,,Super Aguri
2007,16,Chinese Grand Prix,16,15,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Honda
2007,16,Chinese Grand Prix,15,16,ROS,Nico,Rosberg,German,0,+2 Laps,,Williams
2007,16,Chinese Grand Prix,22,17,YAM,Sakon,Yamamoto,Japanese,0,+3 Laps,,Spyker
2007,16,Chinese Grand Prix,9,18,KUB,Robert,Kubica,Polish,0,Hydraulics,,BMW Sauber
2007,16,Chinese Grand Prix,1,19,HAM,Lewis,Hamilton,British,0,Spun off,,McLaren
2007,16,Chinese Grand Prix,6,20,SCH,Ralf,Schumacher,German,0,Spun off,,Toyota
2007,16,Chinese Grand Prix,21,21,SUT,Adrian,Sutil,German,0,Accident,,Spyker
2007,16,Chinese Grand Prix,14,22,DAV,Anthony,Davidson,British,0,Brakes,,Super Aguri
