Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2007,2,Malaysian Grand Prix,2,1,ALO,Fernando,Alonso,Spanish,10,Finished,1:32:14.930,McLaren
2007,2,Malaysian Grand Prix,4,2,HAM,Lewis,Hamilton,British,8,Finished,+17.557,McLaren
2007,2,Malaysian Grand Prix,3,3,RAI,Kimi,Räikkönen,Finnish,6,Finished,+18.339,Ferrari
2007,2,Malaysian Grand Prix,5,4,HEI,Nick,Heidfeld,German,5,Finished,+33.777,BMW Sauber
2007,2,Malaysian Grand Prix,1,5,MAS,Felipe,Massa,Brazilian,4,Finished,+36.705,Ferrari
2007,2,Malaysian Grand Prix,12,6,FIS,Giancarlo,Fisichella,Italian,3,Finished,+1:05.638,Renault
2007,2,Malaysian Grand Prix,8,7,TRU,Jarno,Trulli,Italian,2,Finished,+1:10.132,Toyota
2007,2,Malaysian Grand Prix,11,8,KOV,Heikki,Kovalainen,Finnish,1,Finished,+1:12.015,Renault
2007,2,Malaysian Grand Prix,19,9,WUR,Alexander,Wurz,Austrian,0,Finished,+1:29.924,Williams
2007,2,Malaysian Grand Prix,10,10,WEB,Mark,Webber,Australian,0,Finished,+1:33.556,Red Bull
2007,2,Malaysian Grand Prix,22,11,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Honda
2007,2,Malaysian Grand Prix,15,12,BUT,Jenson,Button,British,0,+1 Lap,,Honda
2007,2,Malaysian Grand Prix,14,13,SAT,Takuma,Sato,Japanese,0,+1 Lap,,Super Aguri
2007,2,Malaysian Grand Prix,17,14,SPE,Scott,Speed,American,0,+1 Lap,,Toro Rosso
2007,2,Malaysian Grand Prix,9,15,SCH,Ralf,Schumacher,German,0,+1 Lap,,Toyota
2007,2,Malaysian Grand Prix,18,16,DAV,Anthony,Davidson,British,0,+1 Lap,,Super Aguri
2007,2,Malaysian Grand Prix,16,17,LIU,Vitantonio,Liuzzi,Italian,0,+1 Lap,,Toro Rosso
2007,2,Malaysian Grand Prix,7,18,KUB,Robert,Kubica,Polish,0,+1 Lap,,BMW Sauber
2007,2,Malaysian Grand Prix,6,19,ROS,Nico,Rosberg,German,0,Hydraulics,,Williams
2007,2,Malaysian Grand Prix,13,20,COU,David,Coulthard,British,0,Brakes,,Red Bull
2007,2,Malaysian Grand Prix,20,21,ALB,Christijan,Albers,Dutch,0,Engine,,Spyker
2007,2,Malaysian Grand Prix,21,22,SUT,Adrian,Sutil,German,0,Collision,,Spyker
