Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2008,1,Australian Grand Prix,1,1,HAM,Lewis,Hamilton,British,10,Finished,1:34:50.616,McLaren
2008,1,Australian Grand Prix,5,2,HEI,Nick,Heidfeld,German,8,Finished,+5.478,BMW Sauber
2008,1,Australian Grand Prix,7,3,ROS,Nico,Rosberg,German,6,Finished,+8.163,Williams
2008,1,Australian Grand Prix,11,4,ALO,Fernando,Alonso,Spanish,5,Finished,+17.181,Renault
2008,1,Australian Grand Prix,3,5,KOV,Heikki,Kovalainen,Finnish,4,Finished,+18.014,McLaren
2008,1,Australian Grand Prix,13,6,NAK,Kazuki,Nakajima,Japanese,3,+1 Lap,,Williams
2008,1,Australian Grand Prix,17,7,BOU,Sébastien,Bourdais,French,2,Engine,,Toro Rosso
2008,1,Australian Grand Prix,15,8,RAI,Kimi,Räikkönen,Finnish,1,Engine,,Ferrari
2008,1,Australian Grand Prix,2,9,KUB,Robert,Kubica,Polish,0,Collision,,BMW Sauber
2008,1,Australian Grand Prix,18,10,GLO,Timo,Glock,German,0,Accident,,Toyota
2008,1,Australian Grand Prix,19,11,SAT,Takuma,Sato,Japanese,0,Transmission,,Super Aguri
2008,1,Australian Grand Prix,20,12,PIQ,Nelson,Piquet Jr.,Brazilian,0,Clutch,,Renault
2008,1,Australian Grand Prix,4,13,MAS,Felipe,Massa,Brazilian,0,Engine,,Ferrari
2008,1,Australian Grand Prix,8,14,COU,David,Coulthard,British,0,Collision,,Red Bull
2008,1,Australian Grand Prix,6,15,TRU,Jarno,Trulli,Italian,0,Electrical,,Toyota
2008,1,Australian Grand Prix,22,16,SUT,Adrian,Sutil,German,0,Hydraulics,,Force India
2008,1,Australian Grand Prix,14,17,WEB,Mark,Webber,Australian,0,Collision,,Red Bull
2008,1,Australian Grand Prix,12,18,BUT,Jenson,Button,British,0,Collision,,Honda
2008,1,Australian Grand Prix,21,19,DAV,Anthony,Davidson,British,0,Collision,,Super Aguri
2008,1,Australian Grand Prix,9,20,VET,Sebastian,Vettel,German,0,Collision,,Toro Rosso
2008,1,Australian Grand Prix,16,21,FIS,Giancarlo,Fisichella,Italian,0,Collision,,Force India
2008,1,Australian Grand Prix,10,22,BAR,Rubens,Barrichello,Brazilian,0,Disqualified,,Honda
