Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2008,15,Singapore Grand Prix,15,1,ALO,Fernando,Alonso,Spanish,10,Finished,1:57:16.304,Renault
2008,15,Singapore Grand Prix,8,2,ROS,Nico,Rosberg,German,8,Finished,+2.957,Williams
2008,15,Singapore Grand Prix,2,3,HAM,Lewis,Hamilton,British,6,Finished,+5.917,McLaren
2008,15,Singapore Grand Prix,7,4,GLO,Timo,Glock,German,5,Finished,+8.155,Toyota
2008,15,Singapore Grand Prix,6,5,VET,Sebastian,Vettel,German,4,Finished,+10.268,Toro Rosso
2008,15,Singapore Grand Prix,9,6,HEI,Nick,Heidfeld,German,3,Finished,+11.101,BMW Sauber
2008,15,Singapore Grand Prix,14,7,COU,David,Coulthard,British,2,Finished,+16.387,Red Bull
2008,15,Singapore Grand Prix,10,8,NAK,Kazuki,Nakajima,Japanese,1,Finished,+18.489,Williams
2008,15,Singapore Grand Prix,12,9,BUT,Jenson,Button,British,0,Finished,+19.885,Honda
2008,15,Singapore Grand Prix,5,10,KOV,Heikki,Kovalainen,Finnish,0,Finished,+26.902,McLaren
2008,15,Singapore Grand Prix,4,11,KUB,Robert,Kubica,Polish,0,Finished,+27.975,BMW Sauber
2008,15,Singapore Grand Prix,17,12,BOU,Sébastien,Bourdais,French,0,Finished,+29.432,Toro Rosso
2008,15,Singapore Grand Prix,1,13,MAS,Felipe,Massa,Brazilian,0,Finished,+35.170,Ferrari
2008,15,Singapore Grand Prix,20,14,FIS,Giancarlo,Fisichella,Italian,0,Finished,+43.571,Force India
2008,15,Singapore Grand Prix,3,15,RAI,Kimi,Räikkönen,Finnish,0,Accident,,Ferrari
2008,15,Singapore Grand Prix,11,16,TRU,Jarno,Trulli,Italian,0,Hydraulics,,Toyota
2008,15,Singapore Grand Prix,19,17,SUT,Adrian,Sutil,German,0,Accident,,Force India
2008,15,Singapore Grand Prix,13,18,WEB,Mark,Webber,Australian,0,Transmission,,Red Bull
2008,15,Singapore Grand Prix,18,19,BAR,Rubens,Barrichello,Brazilian,0,Mechanical,,Honda
2008,15,Singapore Grand Prix,16,20,PIQ,Nelson,Piquet Jr.,Brazilian,0,Accident,,Renault
