Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2008,18,Brazilian Grand Prix,1,1,MAS,Felipe,Massa,Brazilian,10,Finished,1:34:11.435,Ferrari
2008,18,Brazilian Grand Prix,6,2,ALO,Fernando,Alonso,Spanish,8,Finished,+13.298,Renault
2008,18,Brazilian Grand Prix,3,3,RAI,Kimi,Räikkönen,Finnish,6,Finished,+16.235,Ferrari
2008,18,Brazilian Grand Prix,7,4,VET,Sebastian,Vettel,German,5,Finished,+38.011,Toro Rosso
2008,18,Brazilian Grand Prix,4,5,HAM,Lewis,Hamilton,British,4,Finished,+38.907,McLaren
2008,18,Brazilian Grand Prix,10,6,GLO,Timo,Glock,German,3,Finished,+44.368,Toyota
2008,18,Brazilian Grand Prix,5,7,KOV,Heikki,Kovalainen,Finnish,2,Finished,+55.074,McLaren
2008,18,Brazilian Grand Prix,2,8,TRU,Jarno,Trulli,Italian,1,Finished,+1:08.433,Toyota
2008,18,Brazilian Grand Prix,12,9,WEB,Mark,Webber,Australian,0,Finished,+1:19.666,Red Bull
2008,18,Brazilian Grand Prix,8,10,HEI,Nick,Heidfeld,German,0,+1 Lap,,BMW Sauber
2008,18,Brazilian Grand Prix,13,11,KUB,Robert,Kubica,Polish,0,+1 Lap,,BMW Sauber
2008,18,Brazilian Grand Prix,18,12,ROS,Nico,Rosberg,German,0,+1 Lap,,Williams
2008,18,Brazilian Grand Prix,17,13,BUT,Jenson,Button,British,0,+1 Lap,,Honda
2008,18,Brazilian Grand Prix,9,14,BOU,Sébastien,Bourdais,French,0,+1 Lap,,Toro Rosso
2008,18,Brazilian Grand Prix,15,15,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Honda
2008,18,Brazilian Grand Prix,20,16,SUT,Adrian,Sutil,German,0,+2 Laps,,Force India
2008,18,Brazilian Grand Prix,16,17,NAK,Kazuki,Nakajima,Japanese,0,+2 Laps,,Williams
2008,18,Brazilian Grand Prix,19,18,FIS,Giancarlo,Fisichella,Italian,0,+2 Laps,,Force India
2008,18,Brazilian Grand Prix,11,19,PIQ,Nelson,Piquet Jr.,Brazilian,0,Accident,,Renault
2008,18,Brazilian Grand Prix,14,20,COU,David,Coulthard,British,0,Collision,,Red Bull
