Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2008,2,Malaysian Grand Prix,2,1,RAI,Kimi,Räikkönen,Finnish,10,Finished,1:31:18.555,Ferrari
2008,2,Malaysian Grand Prix,4,2,KUB,Robert,Kubica,Polish,8,Finished,+19.570,BMW Sauber
2008,2,Malaysian Grand Prix,8,3,KOV,Heikki,Kovalainen,Finnish,6,Finished,+38.450,McLaren
2008,2,Malaysian Grand Prix,3,4,TRU,Jarno,Trulli,Italian,5,Finished,+45.832,Toyota
2008,2,Malaysian Grand Prix,9,5,HAM,Lewis,Hamilton,British,4,Finished,+46.548,McLaren
2008,2,Malaysian Grand Prix,5,6,HEI,Nick,Heidfeld,German,3,Finished,+49.833,BMW Sauber
2008,2,Malaysian Grand Prix,6,7,WEB,Mark,Webber,Australian,2,Finished,+1:08.130,Red Bull
2008,2,Malaysian Grand Prix,7,8,ALO,Fernando,Alonso,Spanish,1,Finished,+1:10.041,Renault
2008,2,Malaysian Grand Prix,12,9,COU,David,Coulthard,British,0,Finished,+1:16.220,Red Bull
2008,2,Malaysian Grand Prix,11,10,BUT,Jenson,Button,British,0,Finished,+1:26.214,Honda
2008,2,Malaysian Grand Prix,13,11,PIQ,Nelson,Piquet Jr.,Brazilian,0,Finished,+1:32.202,Renault
2008,2,Malaysian Grand Prix,17,12,FIS,Giancarlo,Fisichella,Italian,0,+1 Lap,,Force India
2008,2,Malaysian Grand Prix,14,13,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Honda
2008,2,Malaysian Grand Prix,16,14,ROS,Nico,Rosberg,German,0,+1 Lap,,Williams
2008,2,Malaysian Grand Prix,21,15,DAV,Anthony,Davidson,British,0,+1 Lap,,Super Aguri
2008,2,Malaysian Grand Prix,19,16,SAT,Takuma,Sato,Japanese,0,+2 Laps,,Super Aguri
2008,2,Malaysian Grand Prix,22,17,NAK,Kazuki,Nakajima,Japanese,0,+2 Laps,,Williams
2008,2,Malaysian Grand Prix,15,18,VET,Sebastian,Vettel,German,0,Engine,,Toro Rosso
2008,2,Malaysian Grand Prix,1,19,MAS,Felipe,Massa,Brazilian,0,Spun off,,Ferrari
2008,2,Malaysian Grand Prix,20,20,SUT,Adrian,Sutil,German,0,Hydraulics,,Force India
2008,2,Malaysian Grand Prix,10,21,GLO,Timo,Glock,German,0,Collision,,Toyota
2008,2,Malaysian Grand Prix,18,22,BOU,Sébastien,Bourdais,French,0,Spun off,,Toro Rosso
