Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2008,9,British Grand Prix,4,1,HAM,Lewis,Hamilton,British,10,Finished,1:39:09.440,McLaren
2008,9,British Grand Prix,5,2,HEI,Nick,Heidfeld,German,8,Finished,+1:08.577,BMW Sauber
2008,9,British Grand Prix,16,3,BAR,Rubens,Barrichello,Brazilian,6,Finished,+1:22.273,Honda
2008,9,British Grand Prix,3,4,RAI,Kimi,Räikkönen,Finnish,5,+1 Lap,,Ferrari
2008,9,British Grand Prix,1,5,KOV,Heikki,Kovalainen,Finnish,4,+1 Lap,,McLaren
2008,9,British Grand Prix,6,6,ALO,Fernando,Alonso,Spanish,3,+1 Lap,,Renault
2008,9,British Grand Prix,14,7,TRU,Jarno,Trulli,Italian,2,+1 Lap,,Toyota
2008,9,British Grand Prix,15,8,NAK,Kazuki,Nakajima,Japanese,1,+1 Lap,,Williams
2008,9,British Grand Prix,20,9,ROS,Nico,Rosberg,German,0,+1 Lap,,Williams
2008,9,British Grand Prix,2,10,WEB,Mark,Webber,Australian,0,+1 Lap,,Red Bull
2008,9,British Grand Prix,13,11,BOU,Sébastien,Bourdais,French,0,+1 Lap,,Toro Rosso
2008,9,British Grand Prix,12,12,GLO,Timo,Glock,German,0,+1 Lap,,Toyota
2008,9,British Grand Prix,9,13,MAS,Felipe,Massa,Brazilian,0,+2 Laps,,Ferrari
2008,9,British Grand Prix,10,14,KUB,Robert,Kubica,Polish,0,Spun off,,BMW Sauber
2008,9,British Grand Prix,17,15,BUT,Jenson,Button,British,0,Spun off,,Honda
2008,9,British Grand Prix,7,16,PIQ,Nelson,Piquet Jr.,Brazilian,0,Spun off,,Renault
2008,9,British Grand Prix,19,17,FIS,Giancarlo,Fisichella,Italian,0,Spun off,,Force India
2008,9,British Grand Prix,18,18,SUT,Adrian,Sutil,German,0,Spun off,,Force India
2008,9,British Grand Prix,8,19,VET,Sebastian,Vettel,German,0,Collision,,Toro Rosso
2008,9,British Grand Prix,11,20,COU,David,Coulthard,British,0,Collision,,Red Bull
