Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2009,10,Hungarian Grand Prix,4,1,HAM,Lewis,Hamilton,British,10,Finished,1:38:23.876,McLaren
2009,10,Hungarian Grand Prix,7,2,RAI,Kimi,Räikkönen,Finnish,8,Finished,+11.529,Ferrari
2009,10,Hungarian Grand Prix,3,3,WEB,Mark,Webber,Australian,6,Finished,+16.886,Red Bull
2009,10,Hungarian Grand Prix,5,4,ROS,Nico,Rosberg,German,5,Finished,+26.967,Williams
2009,10,Hungarian Grand Prix,6,5,KOV,Heikki,Kovalainen,Finnish,4,Finished,+34.392,McLaren
2009,10,Hungarian Grand Prix,13,6,GLO,Timo,Glock,German,3,Finished,+35.237,Toyota
2009,10,Hungarian Grand Prix,8,7,BUT,Jenson,Button,British,2,Finished,+55.088,Brawn
2009,10,Hungarian Grand Prix,11,8,TRU,Jarno,Trulli,Italian,1,Finished,+1:08.172,Toyota
2009,10,Hungarian Grand Prix,9,9,NAK,Kazuki,Nakajima,Japanese,0,Finished,+1:08.774,Williams
2009,10,Hungarian Grand Prix,12,10,BAR,Rubens,Barrichello,Brazilian,0,Finished,+1:09.256,Brawn
2009,10,Hungarian Grand Prix,15,11,HEI,Nick,Heidfeld,German,0,Finished,+1:10.612,BMW Sauber
2009,10,Hungarian Grand Prix,14,12,PIQ,Nelson,Piquet Jr.,Brazilian,0,Finished,+1:11.512,Renault
2009,10,Hungarian Grand Prix,18,13,KUB,Robert,Kubica,Polish,0,Finished,+1:14.046,BMW Sauber
2009,10,Hungarian Grand Prix,16,14,FIS,Giancarlo,Fisichella,Italian,0,+1 Lap,,Force India
2009,10,Hungarian Grand Prix,19,15,ALG,Jaime,Alguersuari,Spanish,0,+1 Lap,,Toro Rosso
2009,10,Hungarian Grand Prix,10,16,BUE,Sébastien,Buemi,Swiss,0,+1 Lap,,Toro Rosso
2009,10,Hungarian Grand Prix,2,17,VET,Sebastian,Vettel,German,0,Suspension,,Red Bull
2009,10,Hungarian Grand Prix,1,18,ALO,Fernando,Alonso,Spanish,0,Wheel,,Renault
2009,10,Hungarian Grand Prix,17,19,SUT,Adrian,Sutil,German,0,Overheating,,Force India
2009,10,Hungarian Grand Prix,0,20,MAS,Felipe,Massa,Brazilian,0,Withdrew,,Ferrari
