Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2009,14,Singapore Grand Prix,1,1,HAM,Lewis,Hamilton,British,10,Finished,1:56:06.337,McLaren
2009,14,Singapore Grand Prix,6,2,GLO,Timo,Glock,German,8,Finished,+9.634,Toyota
2009,14,Singapore Grand Prix,5,3,ALO,Fernando,Alonso,Spanish,6,Finished,+16.624,Renault
2009,14,Singapore Grand Prix,2,4,VET,Sebastian,Vettel,German,5,Finished,+20.621,Red Bull
2009,14,Singapore Grand Prix,11,5,BUT,Jenson,Button,British,4,Finished,+30.015,Brawn
2009,14,Singapore Grand Prix,9,6,BAR,Rubens,Barrichello,Brazilian,3,Finished,+31.858,Brawn
2009,14,Singapore Grand Prix,8,7,KOV,Heikki,Kovalainen,Finnish,2,Finished,+36.157,McLaren
2009,14,Singapore Grand Prix,7,8,KUB,Robert,Kubica,Polish,1,Finished,+55.054,BMW Sauber
2009,14,Singapore Grand Prix,10,9,NAK,Kazuki,Nakajima,Japanese,0,Finished,+56.054,Williams
2009,14,Singapore Grand Prix,12,10,RAI,Kimi,Räikkönen,Finnish,0,Finished,+58.892,Ferrari
2009,14,Singapore Grand Prix,3,11,ROS,Nico,Rosberg,German,0,Finished,+59.777,Williams
2009,14,Singapore Grand Prix,14,12,TRU,Jarno,Trulli,Italian,0,Finished,+1:13.009,Toyota
2009,14,Singapore Grand Prix,17,13,FIS,Giancarlo,Fisichella,Italian,0,Finished,+1:19.890,Ferrari
2009,14,Singapore Grand Prix,19,14,LIU,Vitantonio,Liuzzi,Italian,0,Finished,+1:33.502,Force India
2009,14,Singapore Grand Prix,16,15,ALG,Jaime,Alguersuari,Spanish,0,Brakes,,Toro Rosso
2009,14,Singapore Grand Prix,13,16,BUE,Sébastien,Buemi,Swiss,0,Gearbox,,Toro Rosso
2009,14,Singapore Grand Prix,4,17,WEB,Mark,Webber,Australian,0,Brakes,,Red Bull
2009,14,Singapore Grand Prix,15,18,SUT,Adrian,Sutil,German,0,Collision,,Force India
2009,14,Singapore Grand Prix,20,19,HEI,Nick,Heidfeld,German,0,Collision,,BMW Sauber
2009,14,Singapore Grand Prix,18,20,GRO,Romain,Grosjean,French,0,Brakes,,Renault
