Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2009,17,Abu Dhabi Grand Prix,2,1,VET,Sebastian,Vettel,German,10,Finished,1:34:03.414,Red Bull
2009,17,Abu Dhabi Grand Prix,3,2,WEB,Mark,Webber,Australian,8,Finished,+17.857,Red Bull
2009,17,Abu Dhabi Grand Prix,5,3,BUT,Jenson,Button,British,6,Finished,+18.467,Brawn
2009,17,Abu Dhabi Grand Prix,4,4,BAR,Rubens,Barrichello,Brazilian,5,Finished,+22.735,Brawn
2009,17,Abu Dhabi Grand Prix,8,5,HEI,Nick,Heidfeld,German,4,Finished,+26.253,BMW Sauber
2009,17,Abu Dhabi Grand Prix,12,6,KOB,Kamui,Kobayashi,Japanese,3,Finished,+28.343,Toyota
2009,17,Abu Dhabi Grand Prix,6,7,TRU,Jarno,Trulli,Italian,2,Finished,+34.366,Toyota
2009,17,Abu Dhabi Grand Prix,10,8,BUE,Sébastien,Buemi,Swiss,1,Finished,+41.294,Toro Rosso
2009,17,Abu Dhabi Grand Prix,9,9,ROS,Nico,Rosberg,German,0,Finished,+45.941,Williams
2009,17,Abu Dhabi Grand Prix,7,10,KUB,Robert,Kubica,Polish,0,Finished,+48.180,BMW Sauber
2009,17,Abu Dhabi Grand Prix,18,11,KOV,Heikki,Kovalainen,Finnish,0,Finished,+52.798,McLaren
2009,17,Abu Dhabi Grand Prix,11,12,RAI,Kimi,Räikkönen,Finnish,0,Finished,+54.317,Ferrari
2009,17,Abu Dhabi Grand Prix,13,13,NAK,Kazuki,Nakajima,Japanese,0,Finished,+59.839,Williams
2009,17,Abu Dhabi Grand Prix,15,14,ALO,Fernando,Alonso,Spanish,0,Finished,+1:09.687,Renault
2009,17,Abu Dhabi Grand Prix,16,15,LIU,Vitantonio,Liuzzi,Italian,0,Finished,+1:34.450,Force India
2009,17,Abu Dhabi Grand Prix,20,16,FIS,Giancarlo,Fisichella,Italian,0,+1 Lap,,Ferrari
2009,17,Abu Dhabi Grand Prix,17,17,SUT,Adrian,Sutil,German,0,+1 Lap,,Force India
2009,17,Abu Dhabi Grand Prix,19,18,GRO,Romain,Grosjean,French,0,+1 Lap,,Renault
2009,17,Abu Dhabi Grand Prix,1,19,HAM,Lewis,Hamilton,British,0,Brakes,,McLaren
2009,17,Abu Dhabi Grand Prix,14,20,ALG,Jaime,Alguersuari,Spanish,0,Gearbox,,Toro Rosso
