Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2009,4,Bahrain Grand Prix,4,1,BUT,Jenson,Button,British,10,Finished,1:31:48.182,Brawn
2009,4,Bahrain Grand Prix,3,2,VET,Sebastian,Vettel,German,8,Finished,+7.187,Red Bull
2009,4,Bahrain Grand Prix,1,3,TRU,Jarno,Trulli,Italian,6,Finished,+9.170,Toyota
2009,4,Bahrain Grand Prix,5,4,HAM,Lewis,Hamilton,British,5,Finished,+22.096,McLaren
2009,4,Bahrain Grand Prix,6,5,BAR,Rubens,Barrichello,Brazilian,4,Finished,+37.779,Brawn
2009,4,Bahrain Grand Prix,10,6,RAI,Kimi,Räikkönen,Finnish,3,Finished,+42.057,Ferrari
2009,4,Bahrain Grand Prix,2,7,GLO,Timo,Glock,German,2,Finished,+42.880,Toyota
2009,4,Bahrain Grand Prix,7,8,ALO,Fernando,Alonso,Spanish,1,Finished,+52.775,Renault
2009,4,Bahrain Grand Prix,9,9,ROS,Nico,Rosberg,German,0,Finished,+58.198,Williams
2009,4,Bahrain Grand Prix,15,10,PIQ,Nelson,Piquet Jr.,Brazilian,0,Finished,+1:05.149,Renault
2009,4,Bahrain Grand Prix,18,11,WEB,Mark,Webber,Australian,0,Finished,+1:07.641,Red Bull
2009,4,Bahrain Grand Prix,11,12,KOV,Heikki,Kovalainen,Finnish,0,Finished,+1:17.824,McLaren
2009,4,Bahrain Grand Prix,20,13,BOU,Sébastien,Bourdais,French,0,Finished,+1:18.805,Toro Rosso
2009,4,Bahrain Grand Prix,8,14,MAS,Felipe,Massa,Brazilian,0,+1 Lap,,Ferrari
2009,4,Bahrain Grand Prix,17,15,FIS,Giancarlo,Fisichella,Italian,0,+1 Lap,,Force India
2009,4,Bahrain Grand Prix,19,16,SUT,Adrian,Sutil,German,0,+1 Lap,,Force India
2009,4,Bahrain Grand Prix,16,17,BUE,Sébastien,Buemi,Swiss,0,+1 Lap,,Toro Rosso
2009,4,Bahrain Grand Prix,13,18,KUB,Robert,Kubica,Polish,0,+1 Lap,,BMW Sauber
2009,4,Bahrain Grand Prix,14,19,HEI,Nick,Heidfeld,German,0,+1 Lap,,BMW Sauber
2009,4,Bahrain Grand Prix,12,20,NAK,Kazuki,Nakajima,Japanese,0,Oil pressure,,Williams
