Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2010,1,Bahrain Grand Prix,3,1,ALO,Fernando,Alonso,Spanish,25,Finished,1:39:20.396,Ferrari
2010,1,Bahrain Grand Prix,2,2,MAS,Felipe,Massa,Brazilian,18,Finished,+16.099,Ferrari
2010,1,Bahrain Grand Prix,4,3,HAM,Lewis,Hamilton,British,15,Finished,+23.182,McLaren
2010,1,Bahrain Grand Prix,1,4,VET,Sebastian,Vettel,German,12,Finished,+38.799,Red Bull
2010,1,Bahrain Grand Prix,5,5,ROS,Nico,Rosberg,German,10,Finished,+40.213,Mercedes
2010,1,Bahrain Grand Prix,7,6,MSC,Michael,Schumacher,German,8,Finished,+44.163,Mercedes
2010,1,Bahrain Grand Prix,8,7,BUT,Jenson,Button,British,6,Finished,+45.280,McLaren
2010,1,Bahrain Grand Prix,6,8,WEB,Mark,Webber,Australian,4,Finished,+46.360,Red Bull
2010,1,Bahrain Grand Prix,12,9,LIU,Vitantonio,Liuzzi,Italian,2,Finished,+53.008,Force India
2010,1,Bahrain Grand Prix,11,10,BAR,Rubens,Barrichello,Brazilian,1,Finished,+1:02.489,Williams
2010,1,Bahrain Grand Prix,9,11,KUB,Robert,Kubica,Polish,0,Finished,+1:09.093,Renault
2010,1,Bahrain Grand Prix,10,12,SUT,Adrian,Sutil,German,0,Finished,+1:22.958,Force India
2010,1,Bahrain Grand Prix,18,13,ALG,Jaime,Alguersuari,Spanish,0,Finished,+1:32.656,Toro Rosso
2010,1,Bahrain Grand Prix,13,14,HUL,Nico,Hülkenberg,German,0,+1 Lap,,Williams
2010,1,Bahrain Grand Prix,21,15,KOV,Heikki,Kovalainen,Finnish,0,+2 Laps,,Lotus
2010,1,Bahrain Grand Prix,15,16,BUE,Sébastien,Buemi,Swiss,0,Electrical,,Toro Rosso
2010,1,Bahrain Grand Prix,20,17,TRU,Jarno,Trulli,Italian,0,Hydraulics,,Lotus
2010,1,Bahrain Grand Prix,14,18,DLR,Pedro,de la Rosa,Spanish,0,Hydraulics,,Sauber
2010,1,Bahrain Grand Prix,23,19,SEN,Bruno,Senna,Brazilian,0,Overheating,,HRT
2010,1,Bahrain Grand Prix,19,20,GLO,Timo,Glock,German,0,Gearbox,,Virgin
2010,1,Bahrain Grand Prix,17,21,PET,Vitaly,Petrov,Russian,0,Suspension,,Renault
2010,1,Bahrain Grand Prix,16,22,KOB,Kamui,Kobayashi,Japanese,0,Hydraulics,,Sauber
2010,1,Bahrain Grand Prix,22,23,DIG,Lucas,di Grassi,Brazilian,0,Hydraulics,,Virgin
2010,1,Bahrain Grand Prix,24,24,CHA,Karun,Chandhok,Indian,0,Accident,,HRT
