Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2010,10,British Grand Prix,2,1,WEB,Mark,Webber,Australian,25,Finished,1:24:38.200,Red Bull
2010,10,British Grand Prix,4,2,HAM,Lewis,Hamilton,British,18,Finished,+1.360,McLaren
2010,10,British Grand Prix,5,3,ROS,Nico,Rosberg,German,15,Finished,+21.307,Mercedes
2010,10,British Grand Prix,14,4,BUT,Jenson,Button,British,12,Finished,+21.986,McLaren
2010,10,British Grand Prix,8,5,BAR,Rubens,Barrichello,Brazilian,10,Finished,+31.456,Williams
2010,10,British Grand Prix,12,6,KOB,Kamui,Kobayashi,Japanese,8,Finished,+32.171,Sauber
2010,10,British Grand Prix,1,7,VET,Sebastian,Vettel,German,6,Finished,+36.734,Red Bull
2010,10,British Grand Prix,11,8,SUT,Adrian,Sutil,German,4,Finished,+40.932,Force India
2010,10,British Grand Prix,10,9,MSC,Michael,Schumacher,German,2,Finished,+41.599,Mercedes
2010,10,British Grand Prix,13,10,HUL,Nico,Hülkenberg,German,1,Finished,+42.012,Williams
2010,10,British Grand Prix,20,11,LIU,Vitantonio,Liuzzi,Italian,0,Finished,+42.459,Force India
2010,10,British Grand Prix,16,12,BUE,Sébastien,Buemi,Swiss,0,Finished,+47.627,Toro Rosso
2010,10,British Grand Prix,15,13,PET,Vitaly,Petrov,Russian,0,Finished,+59.374,Renault
2010,10,British Grand Prix,3,14,ALO,Fernando,Alonso,Spanish,0,Finished,+1:02.385,Ferrari
2010,10,British Grand Prix,7,15,MAS,Felipe,Massa,Brazilian,0,Finished,+1:07.489,Ferrari
2010,10,British Grand Prix,21,16,TRU,Jarno,Trulli,Italian,0,+1 Lap,,Lotus
2010,10,British Grand Prix,18,17,KOV,Heikki,Kovalainen,Finnish,0,+1 Lap,,Lotus
2010,10,British Grand Prix,19,18,GLO,Timo,Glock,German,0,+2 Laps,,Virgin
2010,10,British Grand Prix,23,19,CHA,Karun,Chandhok,Indian,0,+2 Laps,,HRT
2010,10,British Grand Prix,24,20,YAM,Sakon,Yamamoto,Japanese,0,+2 Laps,,HRT
2010,10,British Grand Prix,17,21,ALG,Jaime,Alguersuari,Spanish,0,Brakes,,Toro Rosso
2010,10,British Grand Prix,9,22,DLR,Pedro,de la Rosa,Spanish,0,Collision,,Sauber
2010,10,British Grand Prix,6,23,KUB,Robert,Kubica,Polish,0,Driveshaft,,Renault
2010,10,British Grand Prix,22,24,DIG,Lucas,di Grassi,Brazilian,0,Hydraulics,,Virgin
