Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2010,16,Japanese Grand Prix,1,1,VET,Sebastian,Vettel,German,25,Finished,1:30:27.323,Red Bull
2010,16,Japanese Grand Prix,2,2,WEB,Mark,Webber,Australian,18,Finished,+0.905,Red Bull
2010,16,Japanese Grand Prix,4,3,ALO,Fernando,Alonso,Spanish,15,Finished,+2.721,Ferrari
2010,16,Japanese Grand Prix,5,4,BUT,Jenson,Button,British,12,Finished,+13.522,McLaren
2010,16,Japanese Grand Prix,8,5,HAM,Lewis,Hamilton,British,10,Finished,+39.595,McLaren
2010,16,Japanese Grand Prix,10,6,MSC,Michael,Schumacher,German,8,Finished,+59.933,Mercedes
2010,16,Japanese Grand Prix,14,7,KOB,Kamui,Kobayashi,Japanese,6,Finished,+1:04.038,Sauber
2010,16,Japanese Grand Prix,11,8,HEI,Nick,Heidfeld,German,4,Finished,+1:09.648,Sauber
2010,16,Japanese Grand Prix,7,9,BAR,Rubens,Barrichello,Brazilian,2,Finished,+1:10.846,Williams
2010,16,Japanese Grand Prix,18,10,BUE,Sébastien,Buemi,Swiss,1,Finished,+1:12.806,Toro Rosso
2010,16,Japanese Grand Prix,16,11,ALG,Jaime,Alguersuari,Spanish,0,+1 Lap,,Toro Rosso
2010,16,Japanese Grand Prix,20,12,KOV,Heikki,Kovalainen,Finnish,0,+1 Lap,,Lotus
2010,16,Japanese Grand Prix,19,13,TRU,Jarno,Trulli,Italian,0,+2 Laps,,Lotus
2010,16,Japanese Grand Prix,22,14,GLO,Timo,Glock,German,0,+2 Laps,,Virgin
2010,16,Japanese Grand Prix,23,15,SEN,Bruno,Senna,Brazilian,0,+2 Laps,,HRT
2010,16,Japanese Grand Prix,24,16,YAM,Sakon,Yamamoto,Japanese,0,+3 Laps,,HRT
2010,16,Japanese Grand Prix,6,17,ROS,Nico,Rosberg,German,0,Suspension,,Mercedes
2010,16,Japanese Grand Prix,15,18,SUT,Adrian,Sutil,German,0,Oil leak,,Force India
2010,16,Japanese Grand Prix,3,19,KUB,Robert,Kubica,Polish,0,Wheel,,Renault
2010,16,Japanese Grand Prix,9,20,HUL,Nico,Hülkenberg,German,0,Accident,,Williams
2010,16,Japanese Grand Prix,12,21,MAS,Felipe,Massa,Brazilian,0,Accident,,Ferrari
2010,16,Japanese Grand Prix,13,22,PET,Vitaly,Petrov,Russian,0,Accident,,Renault
2010,16,Japanese Grand Prix,17,23,LIU,Vitantonio,Liuzzi,Italian,0,Accident,,Force India
2010,16,Japanese Grand Prix,21,24,DIG,Lucas,di Grassi,Brazilian,0,Suspension,,Virgin
