Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2010,17,Korean Grand Prix,3,1,ALO,Fernando,Alonso,Spanish,25,Finished,2:48:20.810,Ferrari
2010,17,Korean Grand Prix,4,2,HAM,Lewis,Hamilton,British,18,Finished,+14.999,McLaren
2010,17,Korean Grand Prix,6,3,MAS,Felipe,Massa,Brazilian,15,Finished,+30.868,Ferrari
2010,17,Korean Grand Prix,9,4,MSC,Michael,Schumacher,German,12,Finished,+39.688,Mercedes
2010,17,Korean Grand Prix,8,5,KUB,Robert,Kubica,Polish,10,Finished,+47.734,Renault
2010,17,Korean Grand Prix,17,6,LIU,Vitantonio,Liuzzi,Italian,8,Finished,+53.571,Force India
2010,17,Korean Grand Prix,10,7,BAR,Rubens,Barrichello,Brazilian,6,Finished,+1:09.257,Williams
2010,17,Korean Grand Prix,12,8,KOB,Kamui,Kobayashi,Japanese,4,Finished,+1:17.889,Sauber
2010,17,Korean Grand Prix,13,9,HEI,Nick,Heidfeld,German,2,Finished,+1:20.107,Sauber
2010,17,Korean Grand Prix,11,10,HUL,Nico,Hülkenberg,German,1,Finished,+1:20.851,Williams
2010,17,Korean Grand Prix,15,11,ALG,Jaime,Alguersuari,Spanish,0,Finished,+1:24.146,Toro Rosso
2010,17,Korean Grand Prix,7,12,BUT,Jenson,Button,British,0,Finished,+1:29.939,McLaren
2010,17,Korean Grand Prix,21,13,KOV,Heikki,Kovalainen,Finnish,0,+1 Lap,,Lotus
2010,17,Korean Grand Prix,24,14,SEN,Bruno,Senna,Brazilian,0,+2 Laps,,HRT
2010,17,Korean Grand Prix,23,15,YAM,Sakon,Yamamoto,Japanese,0,+2 Laps,,HRT
2010,17,Korean Grand Prix,14,16,SUT,Adrian,Sutil,German,0,Collision,,Force India
2010,17,Korean Grand Prix,1,17,VET,Sebastian,Vettel,German,0,Engine,,Red Bull
2010,17,Korean Grand Prix,20,18,PET,Vitaly,Petrov,Russian,0,Accident,,Renault
2010,17,Korean Grand Prix,19,19,GLO,Timo,Glock,German,0,Collision,,Virgin
2010,17,Korean Grand Prix,16,20,BUE,Sébastien,Buemi,Swiss,0,Collision,,Toro Rosso
2010,17,Korean Grand Prix,22,21,DIG,Lucas,di Grassi,Brazilian,0,Accident,,Virgin
2010,17,Korean Grand Prix,18,22,TRU,Jarno,Trulli,Italian,0,Hydraulics,,Lotus
2010,17,Korean Grand Prix,2,23,WEB,Mark,Webber,Australian,0,Accident,,Red Bull
2010,17,Korean Grand Prix,5,24,ROS,Nico,Rosberg,German,0,Collision,,Mercedes
