Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2010,2,Australian Grand Prix,4,1,BUT,Jenson,Button,British,25,Finished,1:33:36.531,McLaren
2010,2,Australian Grand Prix,9,2,KUB,Robert,Kubica,Polish,18,Finished,+12.034,Renault
2010,2,Australian Grand Prix,5,3,MAS,Felipe,Massa,Brazilian,15,Finished,+14.488,Ferrari
2010,2,Australian Grand Prix,3,4,ALO,Fernando,Alonso,Spanish,12,Finished,+16.304,Ferrari
2010,2,Australian Grand Prix,6,5,ROS,Nico,Rosberg,German,10,Finished,+16.683,Mercedes
2010,2,Australian Grand Prix,11,6,HAM,Lewis,Hamilton,British,8,Finished,+29.898,McLaren
2010,2,Australian Grand Prix,13,7,LIU,Vitantonio,Liuzzi,Italian,6,Finished,+59.847,Force India
2010,2,Australian Grand Prix,8,8,BAR,Rubens,Barrichello,Brazilian,4,Finished,+1:00.536,Williams
2010,2,Australian Grand Prix,2,9,WEB,Mark,Webber,Australian,2,Finished,+1:07.319,Red Bull
2010,2,Australian Grand Prix,7,10,MSC,Michael,Schumacher,German,1,Finished,+1:09.391,Mercedes
2010,2,Australian Grand Prix,17,11,ALG,Jaime,Alguersuari,Spanish,0,Finished,+1:11.301,Toro Rosso
2010,2,Australian Grand Prix,14,12,DLR,Pedro,de la Rosa,Spanish,0,Finished,+1:14.084,Sauber
2010,2,Australian Grand Prix,19,13,KOV,Heikki,Kovalainen,Finnish,0,+2 Laps,,Lotus
2010,2,Australian Grand Prix,22,14,CHA,Karun,Chandhok,Indian,0,+5 Laps,,HRT
2010,2,Australian Grand Prix,23,15,GLO,Timo,Glock,German,0,Suspension,,Virgin
2010,2,Australian Grand Prix,24,16,DIG,Lucas,di Grassi,Brazilian,0,Hydraulics,,Virgin
2010,2,Australian Grand Prix,1,17,VET,Sebastian,Vettel,German,0,Wheel,,Red Bull
2010,2,Australian Grand Prix,10,18,SUT,Adrian,Sutil,German,0,Engine,,Force India
2010,2,Australian Grand Prix,18,19,PET,Vitaly,Petrov,Russian,0,Spun off,,Renault
2010,2,Australian Grand Prix,21,20,SEN,Bruno,Senna,Brazilian,0,Hydraulics,,HRT
2010,2,Australian Grand Prix,12,21,BUE,Sébastien,Buemi,Swiss,0,Collision,,Toro Rosso
2010,2,Australian Grand Prix,15,22,HUL,Nico,Hülkenberg,German,0,Collision,,Williams
2010,2,Australian Grand Prix,16,23,KOB,Kamui,Kobayashi,Japanese,0,Collision,,Sauber
2010,2,Australian Grand Prix,20,24,TRU,Jarno,Trulli,Italian,0,Hydraulics,,Lotus
