Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2010,3,Malaysian Grand Prix,3,1,VET,Sebastian,Vettel,German,25,Finished,1:33:48.412,Red Bull
2010,3,Malaysian Grand Prix,1,2,WEB,Mark,Webber,Australian,18,Finished,+4.849,Red Bull
2010,3,Malaysian Grand Prix,2,3,ROS,Nico,Rosberg,German,15,Finished,+13.504,Mercedes
2010,3,Malaysian Grand Prix,6,4,KUB,Robert,Kubica,Polish,12,Finished,+18.589,Renault
2010,3,Malaysian Grand Prix,4,5,SUT,Adrian,Sutil,German,10,Finished,+21.059,Force India
2010,3,Malaysian Grand Prix,20,6,HAM,Lewis,Hamilton,British,8,Finished,+23.471,McLaren
2010,3,Malaysian Grand Prix,21,7,MAS,Felipe,Massa,Brazilian,6,Finished,+27.068,Ferrari
2010,3,Malaysian Grand Prix,17,8,BUT,Jenson,Button,British,4,Finished,+37.918,McLaren
2010,3,Malaysian Grand Prix,14,9,ALG,Jaime,Alguersuari,Spanish,2,Finished,+1:10.602,Toro Rosso
2010,3,Malaysian Grand Prix,5,10,HUL,Nico,Hülkenberg,German,1,Finished,+1:13.399,Williams
2010,3,Malaysian Grand Prix,13,11,BUE,Sébastien,Buemi,Swiss,0,Finished,+1:18.938,Toro Rosso
2010,3,Malaysian Grand Prix,7,12,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Williams
2010,3,Malaysian Grand Prix,19,13,ALO,Fernando,Alonso,Spanish,0,Engine,,Ferrari
2010,3,Malaysian Grand Prix,24,14,DIG,Lucas,di Grassi,Brazilian,0,+3 Laps,,Virgin
2010,3,Malaysian Grand Prix,22,15,CHA,Karun,Chandhok,Indian,0,+3 Laps,,HRT
2010,3,Malaysian Grand Prix,23,16,SEN,Bruno,Senna,Brazilian,0,+4 Laps,,HRT
2010,3,Malaysian Grand Prix,18,17,TRU,Jarno,Trulli,Italian,0,+5 Laps,,Lotus
2010,3,Malaysian Grand Prix,15,18,KOV,Heikki,Kovalainen,Finnish,0,+10 Laps,,Lotus
2010,3,Malaysian Grand Prix,11,19,PET,Vitaly,Petrov,Russian,0,Gearbox,,Renault
2010,3,Malaysian Grand Prix,10,20,LIU,Vitantonio,Liuzzi,Italian,0,Throttle,,Force India
2010,3,Malaysian Grand Prix,8,21,MSC,Michael,Schumacher,German,0,Wheel,,Mercedes
2010,3,Malaysian Grand Prix,9,22,KOB,Kamui,Kobayashi,Japanese,0,Engine,,Sauber
2010,3,Malaysian Grand Prix,16,23,GLO,Timo,Glock,German,0,Spun off,,Virgin
2010,3,Malaysian Grand Prix,12,24,DLR,Pedro,de la Rosa,Spanish,0,Engine,,Sauber
