Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2010,4,Chinese Grand Prix,5,1,BUT,Jenson,Button,British,25,Finished,1:46:42.163,McLaren
2010,4,Chinese Grand Prix,6,2,HAM,Lewis,Hamilton,British,18,Finished,+1.530,McLaren
2010,4,Chinese Grand Prix,4,3,ROS,Nico,Rosberg,German,15,Finished,+9.484,Mercedes
2010,4,Chinese Grand Prix,3,4,ALO,Fernando,Alonso,Spanish,12,Finished,+11.869,Ferrari
2010,4,Chinese Grand Prix,8,5,KUB,Robert,Kubica,Polish,10,Finished,+22.213,Renault
2010,4,Chinese Grand Prix,1,6,VET,Sebastian,Vettel,German,8,Finished,+33.310,Red Bull
2010,4,Chinese Grand Prix,14,7,PET,Vitaly,Petrov,Russian,6,Finished,+47.600,Renault
2010,4,Chinese Grand Prix,2,8,WEB,Mark,Webber,Australian,4,Finished,+52.172,Red Bull
2010,4,Chinese Grand Prix,7,9,MAS,Felipe,Massa,Brazilian,2,Finished,+57.796,Ferrari
2010,4,Chinese Grand Prix,9,10,MSC,Michael,Schumacher,German,1,Finished,+1:01.749,Mercedes
2010,4,Chinese Grand Prix,10,11,SUT,Adrian,Sutil,German,0,Finished,+1:02.874,Force India
2010,4,Chinese Grand Prix,11,12,BAR,Rubens,Barrichello,Brazilian,0,Finished,+1:03.665,Williams
2010,4,Chinese Grand Prix,12,13,ALG,Jaime,Alguersuari,Spanish,0,Finished,+1:11.416,Toro Rosso
2010,4,Chinese Grand Prix,21,14,KOV,Heikki,Kovalainen,Finnish,0,+1 Lap,,Lotus
2010,4,Chinese Grand Prix,16,15,HUL,Nico,Hülkenberg,German,0,+1 Lap,,Williams
2010,4,Chinese Grand Prix,23,16,SEN,Bruno,Senna,Brazilian,0,+2 Laps,,HRT
2010,4,Chinese Grand Prix,24,17,CHA,Karun,Chandhok,Indian,0,+4 Laps,,HRT
2010,4,Chinese Grand Prix,20,18,TRU,Jarno,Trulli,Italian,0,Hydraulics,,Lotus
2010,4,Chinese Grand Prix,22,19,DIG,Lucas,di Grassi,Brazilian,0,Clutch,,Virgin
2010,4,Chinese Grand Prix,17,20,DLR,Pedro,de la Rosa,Spanish,0,Technical,,Sauber
2010,4,Chinese Grand Prix,13,21,BUE,Sébastien,Buemi,Swiss,0,Accident,,Toro Rosso
2010,4,Chinese Grand Prix,15,22,KOB,Kamui,Kobayashi,Japanese,0,Accident,,Sauber
2010,4,Chinese Grand Prix,18,23,LIU,Vitantonio,Liuzzi,Italian,0,Accident,,Force India
2010,4,Chinese Grand Prix,19,24,GLO,Timo,Glock,German,0,Engine,,Virgin
