Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2010,7,Turkish Grand Prix,2,1,HAM,Lewis,Hamilton,British,25,Finished,1:28:47.620,McLaren
2010,7,Turkish Grand Prix,4,2,BUT,Jenson,Button,British,18,Finished,+2.645,McLaren
2010,7,Turkish Grand Prix,1,3,WEB,Mark,Webber,Australian,15,Finished,+24.285,Red Bull
2010,7,Turkish Grand Prix,5,4,MSC,Michael,Schumacher,German,12,Finished,+31.110,Mercedes
2010,7,Turkish Grand Prix,6,5,ROS,Nico,Rosberg,German,10,Finished,+32.266,Mercedes
2010,7,Turkish Grand Prix,7,6,KUB,Robert,Kubica,Polish,8,Finished,+32.824,Renault
2010,7,Turkish Grand Prix,8,7,MAS,Felipe,Massa,Brazilian,6,Finished,+36.635,Ferrari
2010,7,Turkish Grand Prix,12,8,ALO,Fernando,Alonso,Spanish,4,Finished,+46.544,Ferrari
2010,7,Turkish Grand Prix,11,9,SUT,Adrian,Sutil,German,2,Finished,+49.029,Force India
2010,7,Turkish Grand Prix,10,10,KOB,Kamui,Kobayashi,Japanese,1,Finished,+1:05.650,Sauber
2010,7,Turkish Grand Prix,13,11,DLR,Pedro,de la Rosa,Spanish,0,Finished,+1:05.944,Sauber
2010,7,Turkish Grand Prix,16,12,ALG,Jaime,Alguersuari,Spanish,0,Finished,+1:07.800,Toro Rosso
2010,7,Turkish Grand Prix,18,13,LIU,Vitantonio,Liuzzi,Italian,0,+1 Lap,,Force India
2010,7,Turkish Grand Prix,15,14,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Williams
2010,7,Turkish Grand Prix,9,15,PET,Vitaly,Petrov,Russian,0,+1 Lap,,Renault
2010,7,Turkish Grand Prix,14,16,BUE,Sébastien,Buemi,Swiss,0,+1 Lap,,Toro Rosso
2010,7,Turkish Grand Prix,17,17,HUL,Nico,Hülkenberg,German,0,+1 Lap,,Williams
2010,7,Turkish Grand Prix,21,18,GLO,Timo,Glock,German,0,+3 Laps,,Virgin
2010,7,Turkish Grand Prix,23,19,DIG,Lucas,di Grassi,Brazilian,0,+3 Laps,,Virgin
2010,7,Turkish Grand Prix,24,20,CHA,Karun,Chandhok,Indian,0,Fuel pump,,HRT
2010,7,Turkish Grand Prix,22,21,SEN,Bruno,Senna,Brazilian,0,Fuel pressure,,HRT
2010,7,Turkish Grand Prix,3,22,VET,Sebastian,Vettel,German,0,Collision,,Red Bull
2010,7,Turkish Grand Prix,20,23,KOV,Heikki,Kovalainen,Finnish,0,Hydraulics,,Lotus
2010,7,Turkish Grand Prix,19,24,TRU,Jarno,Trulli,Italian,0,Hydraulics,,Lotus
