Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2010,9,European Grand Prix,1,1,VET,Sebastian,Vettel,German,25,Finished,1:40:29.571,Red Bull
2010,9,European Grand Prix,3,2,HAM,Lewis,Hamilton,British,18,Finished,+5.042,McLaren
2010,9,European Grand Prix,7,3,BUT,Jenson,Button,British,15,Finished,+12.658,McLaren
2010,9,European Grand Prix,9,4,BAR,Rubens,Barrichello,Brazilian,12,Finished,+25.627,Williams
2010,9,European Grand Prix,6,5,KUB,Robert,Kubica,Polish,10,Finished,+27.122,Renault
2010,9,European Grand Prix,13,6,SUT,Adrian,Sutil,German,8,Finished,+30.168,Force India
2010,9,European Grand Prix,18,7,KOB,Kamui,Kobayashi,Japanese,6,Finished,+30.965,Sauber
2010,9,European Grand Prix,4,8,ALO,Fernando,Alonso,Spanish,4,Finished,+32.809,Ferrari
2010,9,European Grand Prix,11,9,BUE,Sébastien,Buemi,Swiss,2,Finished,+36.299,Toro Rosso
2010,9,European Grand Prix,12,10,ROS,Nico,Rosberg,German,1,Finished,+44.382,Mercedes
2010,9,European Grand Prix,5,11,MAS,Felipe,Massa,Brazilian,0,Finished,+46.621,Ferrari
2010,9,European Grand Prix,16,12,DLR,Pedro,de la Rosa,Spanish,0,Finished,+47.414,Sauber
2010,9,European Grand Prix,17,13,ALG,Jaime,Alguersuari,Spanish,0,Finished,+48.239,Toro Rosso
2010,9,European Grand Prix,10,14,PET,Vitaly,Petrov,Russian,0,Finished,+48.287,Renault
2010,9,European Grand Prix,15,15,MSC,Michael,Schumacher,German,0,Finished,+48.826,Mercedes
2010,9,European Grand Prix,14,16,LIU,Vitantonio,Liuzzi,Italian,0,Finished,+50.890,Force India
2010,9,European Grand Prix,21,17,DIG,Lucas,di Grassi,Brazilian,0,+1 Lap,,Virgin
2010,9,European Grand Prix,23,18,CHA,Karun,Chandhok,Indian,0,+2 Laps,,HRT
2010,9,European Grand Prix,22,19,GLO,Timo,Glock,German,0,+2 Laps,,Virgin
2010,9,European Grand Prix,24,20,SEN,Bruno,Senna,Brazilian,0,+2 Laps,,HRT
2010,9,European Grand Prix,19,21,TRU,Jarno,Trulli,Italian,0,+4 Laps,,Lotus
2010,9,European Grand Prix,8,22,HUL,Nico,Hülkenberg,German,0,Exhaust,,Williams
2010,9,European Grand Prix,20,23,KOV,Heikki,Kovalainen,Finnish,0,Collision,,Lotus
2010,9,European Grand Prix,2,24,WEB,Mark,Webber,Australian,0,Collision,,Red Bull
