Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2011,12,Belgian Grand Prix,1,1,VET,Sebastian,Vettel,German,25,Finished,1:26:44.893,Red Bull
2011,12,Belgian Grand Prix,3,2,WEB,Mark,Webber,Australian,18,Finished,+3.741,Red Bull
2011,12,Belgian Grand Prix,13,3,BUT,Jenson,Button,British,15,Finished,+9.669,McLaren
2011,12,Belgian Grand Prix,8,4,ALO,Fernando,Alonso,Spanish,12,Finished,+13.022,Ferrari
2011,12,Belgian Grand Prix,24,5,MSC,Michael,Schumacher,German,10,Finished,+47.464,Mercedes
2011,12,Belgian Grand Prix,5,6,ROS,Nico,Rosberg,German,8,Finished,+48.674,Mercedes
2011,12,Belgian Grand Prix,15,7,SUT,Adrian,Sutil,German,6,Finished,+59.713,Force India
2011,12,Belgian Grand Prix,4,8,MAS,Felipe,Massa,Brazilian,4,Finished,+1:06.076,Ferrari
2011,12,Belgian Grand Prix,10,9,PET,Vitaly,Petrov,Russian,2,Finished,+1:11.917,Renault
2011,12,Belgian Grand Prix,21,10,MAL,Pastor,Maldonado,Venezuelan,1,Finished,+1:17.615,Williams
2011,12,Belgian Grand Prix,17,11,DIR,Paul,di Resta,British,0,Finished,+1:23.994,Force India
2011,12,Belgian Grand Prix,12,12,KOB,Kamui,Kobayashi,Japanese,0,Finished,+1:31.976,Sauber
2011,12,Belgian Grand Prix,7,13,SEN,Bruno,Senna,Brazilian,0,Finished,+1:32.985,Renault
2011,12,Belgian Grand Prix,18,14,TRU,Jarno,Trulli,Italian,0,+1 Lap,,Lotus
2011,12,Belgian Grand Prix,16,15,KOV,Heikki,Kovalainen,Finnish,0,+1 Lap,,Lotus
2011,12,Belgian Grand Prix,14,16,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Williams
2011,12,Belgian Grand Prix,20,17,DAM,Jérôme,d'Ambrosio,Belgian,0,+1 Lap,,Virgin
2011,12,Belgian Grand Prix,19,18,GLO,Timo,Glock,German,0,+1 Lap,,Virgin
2011,12,Belgian Grand Prix,22,19,LIU,Vitantonio,Liuzzi,Italian,0,+1 Lap,,HRT
2011,12,Belgian Grand Prix,9,20,PER,Sergio,Pérez,Mexican,0,Suspension,,Sauber
2011,12,Belgian Grand Prix,23,21,RIC,Daniel,Ricciardo,Australian,0,Engine,,HRT
2011,12,Belgian Grand Prix,2,22,HAM,Lewis,Hamilton,British,0,Collision,,McLaren
2011,12,Belgian Grand Prix,11,23,BUE,Sébastien,Buemi,Swiss,0,Rear wing,,Toro Rosso
2011,12,Belgian Grand Prix,6,24,ALG,Jaime,Alguersuari,Spanish,0,Collision,,Toro Rosso
