Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2011,19,Brazilian Grand Prix,2,1,WEB,Mark,Webber,Australian,25,Finished,1:32:17.464,Red Bull
2011,19,Brazilian Grand Prix,1,2,VET,Sebastian,Vettel,German,18,Finished,+16.983,Red Bull
2011,19,Brazilian Grand Prix,3,3,BUT,Jenson,Button,British,15,Finished,+27.638,McLaren
2011,19,Brazilian Grand Prix,5,4,ALO,Fernando,Alonso,Spanish,12,Finished,+35.048,Ferrari
2011,19,Brazilian Grand Prix,7,5,MAS,Felipe,Massa,Brazilian,10,Finished,+1:06.733,Ferrari
2011,19,Brazilian Grand Prix,8,6,SUT,Adrian,Sutil,German,8,+1 Lap,,Force India
2011,19,Brazilian Grand Prix,6,7,ROS,Nico,Rosberg,German,6,+1 Lap,,Mercedes
2011,19,Brazilian Grand Prix,11,8,DIR,Paul,di Resta,British,4,+1 Lap,,Force India
2011,19,Brazilian Grand Prix,16,9,KOB,Kamui,Kobayashi,Japanese,2,+1 Lap,,Sauber
2011,19,Brazilian Grand Prix,15,10,PET,Vitaly,Petrov,Russian,1,+1 Lap,,Renault
2011,19,Brazilian Grand Prix,13,11,ALG,Jaime,Alguersuari,Spanish,0,+1 Lap,,Toro Rosso
2011,19,Brazilian Grand Prix,14,12,BUE,Sébastien,Buemi,Swiss,0,+1 Lap,,Toro Rosso
2011,19,Brazilian Grand Prix,17,13,PER,Sergio,Pérez,Mexican,0,+1 Lap,,Sauber
2011,19,Brazilian Grand Prix,12,14,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Williams
2011,19,Brazilian Grand Prix,10,15,MSC,Michael,Schumacher,German,0,+1 Lap,,Mercedes
2011,19,Brazilian Grand Prix,19,16,KOV,Heikki,Kovalainen,Finnish,0,+2 Laps,,Lotus
2011,19,Brazilian Grand Prix,9,17,SEN,Bruno,Senna,Brazilian,0,+2 Laps,,Renault
2011,19,Brazilian Grand Prix,20,18,TRU,Jarno,Trulli,Italian,0,+2 Laps,,Lotus
2011,19,Brazilian Grand Prix,23,19,DAM,Jérôme,d'Ambrosio,Belgian,0,+3 Laps,,Virgin
2011,19,Brazilian Grand Prix,22,20,RIC,Daniel,Ricciardo,Australian,0,+3 Laps,,HRT
2011,19,Brazilian Grand Prix,21,21,LIU,Vitantonio,Liuzzi,Italian,0,Retired,,HRT
2011,19,Brazilian Grand Prix,4,22,HAM,Lewis,Hamilton,British,0,Gearbox,,McLaren
2011,19,Brazilian Grand Prix,18,23,MAL,Pastor,Maldonado,Venezuelan,0,Retired,,Williams
2011,19,Brazilian Grand Prix,24,24,GLO,Timo,Glock,German,0,Retired,,Virgin
