Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2011,4,Turkish Grand Prix,1,1,VET,Sebastian,Vettel,German,25,Finished,1:30:17.558,Red Bull
2011,4,Turkish Grand Prix,2,2,WEB,Mark,Webber,Australian,18,Finished,+8.807,Red Bull
2011,4,Turkish Grand Prix,5,3,ALO,Fernando,Alonso,Spanish,15,Finished,+10.075,Ferrari
2011,4,Turkish Grand Prix,4,4,HAM,Lewis,Hamilton,British,12,Finished,+40.232,McLaren
2011,4,Turkish Grand Prix,3,5,ROS,Nico,Rosberg,German,10,Finished,+47.539,Mercedes
2011,4,Turkish Grand Prix,6,6,BUT,Jenson,Button,British,8,Finished,+59.431,McLaren
2011,4,Turkish Grand Prix,9,7,HEI,Nick,Heidfeld,German,6,Finished,+1:00.857,Renault
2011,4,Turkish Grand Prix,7,8,PET,Vitaly,Petrov,Russian,4,Finished,+1:08.168,Renault
2011,4,Turkish Grand Prix,16,9,BUE,Sébastien,Buemi,Swiss,2,Finished,+1:09.394,Toro Rosso
2011,4,Turkish Grand Prix,24,10,KOB,Kamui,Kobayashi,Japanese,1,Finished,+1:18.021,Sauber
2011,4,Turkish Grand Prix,10,11,MAS,Felipe,Massa,Brazilian,0,Finished,+1:19.823,Ferrari
2011,4,Turkish Grand Prix,8,12,MSC,Michael,Schumacher,German,0,Finished,+1:25.444,Mercedes
2011,4,Turkish Grand Prix,12,13,SUT,Adrian,Sutil,German,0,+1 Lap,,Force India
2011,4,Turkish Grand Prix,15,14,PER,Sergio,Pérez,Mexican,0,+1 Lap,,Sauber
2011,4,Turkish Grand Prix,11,15,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Williams
2011,4,Turkish Grand Prix,17,16,ALG,Jaime,Alguersuari,Spanish,0,+1 Lap,,Toro Rosso
2011,4,Turkish Grand Prix,14,17,MAL,Pastor,Maldonado,Venezuelan,0,+1 Lap,,Williams
2011,4,Turkish Grand Prix,19,18,TRU,Jarno,Trulli,Italian,0,+1 Lap,,Lotus
2011,4,Turkish Grand Prix,18,19,KOV,Heikki,Kovalainen,Finnish,0,+2 Laps,,Lotus
2011,4,Turkish Grand Prix,23,20,DAM,Jérôme,d'Ambrosio,Belgian,0,+2 Laps,,Virgin
2011,4,Turkish Grand Prix,22,21,KAR,Narain,Karthikeyan,Indian,0,+3 Laps,,HRT
2011,4,Turkish Grand Prix,20,22,LIU,Vitantonio,Liuzzi,Italian,0,+5 Laps,,HRT
2011,4,Turkish Grand Prix,13,23,DIR,Paul,di Resta,British,0,Retired,,Force India
2011,4,Turkish Grand Prix,21,24,GLO,Timo,Glock,German,0,Gearbox,,Virgin
