Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2011,7,Canadian Grand Prix,7,1,BUT,Jenson,Button,British,25,Finished,4:04:39.537,McLaren
2011,7,Canadian Grand Prix,1,2,VET,Sebastian,Vettel,German,18,Finished,+2.709,Red Bull
2011,7,Canadian Grand Prix,4,3,WEB,Mark,Webber,Australian,15,Finished,+13.828,Red Bull
2011,7,Canadian Grand Prix,8,4,MSC,Michael,Schumacher,German,12,Finished,+14.219,Mercedes
2011,7,Canadian Grand Prix,10,5,PET,Vitaly,Petrov,Russian,10,Finished,+20.395,Renault
2011,7,Canadian Grand Prix,3,6,MAS,Felipe,Massa,Brazilian,8,Finished,+33.225,Ferrari
2011,7,Canadian Grand Prix,13,7,KOB,Kamui,Kobayashi,Japanese,6,Finished,+33.270,Sauber
2011,7,Canadian Grand Prix,24,8,ALG,Jaime,Alguersuari,Spanish,4,Finished,+35.964,Toro Rosso
2011,7,Canadian Grand Prix,16,9,BAR,Rubens,Barrichello,Brazilian,2,Finished,+45.117,Williams
2011,7,Canadian Grand Prix,15,10,BUE,Sébastien,Buemi,Swiss,1,Finished,+47.056,Toro Rosso
2011,7,Canadian Grand Prix,6,11,ROS,Nico,Rosberg,German,0,Finished,+50.454,Mercedes
2011,7,Canadian Grand Prix,17,12,DLR,Pedro,de la Rosa,Spanish,0,Finished,+1:03.607,Sauber
2011,7,Canadian Grand Prix,20,13,LIU,Vitantonio,Liuzzi,Italian,0,+1 Lap,,HRT
2011,7,Canadian Grand Prix,22,14,KAR,Narain,Karthikeyan,Indian,0,+1 Lap,,HRT
2011,7,Canadian Grand Prix,23,15,DAM,Jérôme,d'Ambrosio,Belgian,0,+1 Lap,,Virgin
2011,7,Canadian Grand Prix,21,16,GLO,Timo,Glock,German,0,+1 Lap,,Virgin
2011,7,Canadian Grand Prix,18,17,TRU,Jarno,Trulli,Italian,0,+1 Lap,,Lotus
2011,7,Canadian Grand Prix,11,18,DIR,Paul,di Resta,British,0,Accident,,Force India
2011,7,Canadian Grand Prix,12,19,MAL,Pastor,Maldonado,Venezuelan,0,Retired,,Williams
2011,7,Canadian Grand Prix,9,20,HEI,Nick,Heidfeld,German,0,Accident,,Renault
2011,7,Canadian Grand Prix,14,21,SUT,Adrian,Sutil,German,0,Accident,,Force India
2011,7,Canadian Grand Prix,2,22,ALO,Fernando,Alonso,Spanish,0,Collision,,Ferrari
2011,7,Canadian Grand Prix,19,23,KOV,Heikki,Kovalainen,Finnish,0,Transmission,,Lotus
2011,7,Canadian Grand Prix,5,24,HAM,Lewis,Hamilton,British,0,Collision,,McLaren
