Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2012,1,Australian Grand Prix,2,1,BUT,Jenson,Button,British,25,Finished,1:34:09.565,McLaren
2012,1,Australian Grand Prix,6,2,VET,Sebastian,Vettel,German,18,Finished,+2.139,Red Bull
2012,1,Australian Grand Prix,1,3,HAM,Lewis,Hamilton,British,15,Finished,+4.075,McLaren
2012,1,Australian Grand Prix,5,4,WEB,Mark,Webber,Australian,12,Finished,+4.547,Red Bull
2012,1,Australian Grand Prix,12,5,ALO,Fernando,Alonso,Spanish,10,Finished,+21.565,Ferrari
2012,1,Australian Grand Prix,13,6,KOB,Kamui,Kobayashi,Japanese,8,Finished,+36.766,Sauber
2012,1,Australian Grand Prix,17,7,RAI,Kimi,Räikkönen,Finnish,6,Finished,+38.014,Lotus F1
2012,1,Australian Grand Prix,22,8,PER,Sergio,Pérez,Mexican,4,Finished,+39.458,Sauber
2012,1,Australian Grand Prix,10,9,RIC,Daniel,Ricciardo,Australian,2,Finished,+39.556,Toro Rosso
2012,1,Australian Grand Prix,15,10,DIR,Paul,di Resta,British,1,Finished,+39.737,Force India
2012,1,Australian Grand Prix,11,11,VER,Jean-Éric,Vergne,French,0,Finished,+39.848,Toro Rosso
2012,1,Australian Grand Prix,7,12,ROS,Nico,Rosberg,German,0,Finished,+57.642,Mercedes
2012,1,Australian Grand Prix,8,13,MAL,Pastor,Maldonado,Venezuelan,0,Accident,,Williams
2012,1,Australian Grand Prix,20,14,GLO,Timo,Glock,German,0,+1 Lap,,Marussia
2012,1,Australian Grand Prix,21,15,PIC,Charles,Pic,French,0,+5 Laps,,Marussia
2012,1,Australian Grand Prix,14,16,SEN,Bruno,Senna,Brazilian,0,Collision,,Williams
2012,1,Australian Grand Prix,16,17,MAS,Felipe,Massa,Brazilian,0,Collision,,Ferrari
2012,1,Australian Grand Prix,18,18,KOV,Heikki,Kovalainen,Finnish,0,Suspension,,Caterham
2012,1,Australian Grand Prix,19,19,PET,Vitaly,Petrov,Russian,0,Steering,,Caterham
2012,1,Australian Grand Prix,4,20,MSC,Michael,Schumacher,German,0,Gearbox,,Mercedes
2012,1,Australian Grand Prix,3,21,GRO,Romain,Grosjean,French,0,Collision,,Lotus F1
2012,1,Australian Grand Prix,9,22,HUL,Nico,Hülkenberg,German,0,Collision,,Force India
2012,1,Australian Grand Prix,0,23,DLR,Pedro,de la Rosa,Spanish,0,Did not qualify,,HRT
2012,1,Australian Grand Prix,0,24,KAR,Narain,Karthikeyan,Indian,0,Did not qualify,,HRT
