Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2012,13,Italian Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:19:41.221,McLaren
2012,13,Italian Grand Prix,12,2,PER,Sergio,Pérez,Mexican,18,Finished,+4.356,Sauber
2012,13,Italian Grand Prix,10,3,ALO,Fernando,Alonso,Spanish,15,Finished,+20.594,Ferrari
2012,13,Italian Grand Prix,3,4,MAS,Felipe,Massa,Brazilian,12,Finished,+29.667,Ferrari
2012,13,Italian Grand Prix,7,5,RAI,Kimi,Räikkönen,Finnish,10,Finished,+30.881,Lotus F1
2012,13,Italian Grand Prix,4,6,MSC,Michael,Schumacher,German,8,Finished,+31.259,Mercedes
2012,13,Italian Grand Prix,6,7,ROS,Nico,Rosberg,German,6,Finished,+33.550,Mercedes
2012,13,Italian Grand Prix,9,8,DIR,Paul,di Resta,British,4,Finished,+41.057,Force India
2012,13,Italian Grand Prix,8,9,KOB,Kamui,Kobayashi,Japanese,2,Finished,+43.898,Sauber
2012,13,Italian Grand Prix,13,10,SEN,Bruno,Senna,Brazilian,1,Finished,+48.144,Williams
2012,13,Italian Grand Prix,22,11,MAL,Pastor,Maldonado,Venezuelan,0,Finished,+48.682,Williams
2012,13,Italian Grand Prix,14,12,RIC,Daniel,Ricciardo,Australian,0,Finished,+50.316,Toro Rosso
2012,13,Italian Grand Prix,15,13,DAM,Jérôme,d'Ambrosio,Belgian,0,Finished,+1:15.861,Lotus F1
2012,13,Italian Grand Prix,17,14,KOV,Heikki,Kovalainen,Finnish,0,+1 Lap,,Caterham
2012,13,Italian Grand Prix,18,15,PET,Vitaly,Petrov,Russian,0,+1 Lap,,Caterham
2012,13,Italian Grand Prix,20,16,PIC,Charles,Pic,French,0,+1 Lap,,Marussia
2012,13,Italian Grand Prix,19,17,GLO,Timo,Glock,German,0,+1 Lap,,Marussia
2012,13,Italian Grand Prix,23,18,DLR,Pedro,de la Rosa,Spanish,0,+1 Lap,,HRT
2012,13,Italian Grand Prix,21,19,KAR,Narain,Karthikeyan,Indian,0,+1 Lap,,HRT
2012,13,Italian Grand Prix,11,20,WEB,Mark,Webber,Australian,0,Vibrations,,Red Bull
2012,13,Italian Grand Prix,24,21,HUL,Nico,Hülkenberg,German,0,Brakes,,Force India
2012,13,Italian Grand Prix,5,22,VET,Sebastian,Vettel,German,0,Alternator,,Red Bull
2012,13,Italian Grand Prix,2,23,BUT,Jenson,Button,British,0,Fuel pressure,,McLaren
2012,13,Italian Grand Prix,16,24,VER,Jean-Éric,Vergne,French,0,Suspension,,Toro Rosso
