Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2012,14,Singapore Grand Prix,3,1,VET,Sebastian,Vettel,German,25,Finished,2:00:26.144,Red Bull
2012,14,Singapore Grand Prix,4,2,BUT,Jenson,Button,British,18,Finished,+8.959,McLaren
2012,14,Singapore Grand Prix,5,3,ALO,Fernando,Alonso,Spanish,15,Finished,+15.227,Ferrari
2012,14,Singapore Grand Prix,6,4,DIR,Paul,di Resta,British,12,Finished,+19.063,Force India
2012,14,Singapore Grand Prix,10,5,ROS,Nico,Rosberg,German,10,Finished,+34.784,Mercedes
2012,14,Singapore Grand Prix,12,6,RAI,Kimi,Räikkönen,Finnish,8,Finished,+35.759,Lotus F1
2012,14,Singapore Grand Prix,8,7,GRO,Romain,Grosjean,French,6,Finished,+36.698,Lotus F1
2012,14,Singapore Grand Prix,13,8,MAS,Felipe,Massa,Brazilian,4,Finished,+42.829,Ferrari
2012,14,Singapore Grand Prix,15,9,RIC,Daniel,Ricciardo,Australian,2,Finished,+45.820,Toro Rosso
2012,14,Singapore Grand Prix,14,10,PER,Sergio,Pérez,Mexican,1,Finished,+50.619,Sauber
2012,14,Singapore Grand Prix,7,11,WEB,Mark,Webber,Australian,0,Finished,+87.175,Red Bull
2012,14,Singapore Grand Prix,20,12,GLO,Timo,Glock,German,0,Finished,+91.918,Marussia
2012,14,Singapore Grand Prix,17,13,KOB,Kamui,Kobayashi,Japanese,0,Finished,+97.141,Sauber
2012,14,Singapore Grand Prix,11,14,HUL,Nico,Hülkenberg,German,0,Finished,+99.413,Force India
2012,14,Singapore Grand Prix,19,15,KOV,Heikki,Kovalainen,Finnish,0,Finished,+107.967,Caterham
2012,14,Singapore Grand Prix,21,16,PIC,Charles,Pic,French,0,Finished,+132.925,Marussia
2012,14,Singapore Grand Prix,24,17,DLR,Pedro,de la Rosa,Spanish,0,+1 Lap,,HRT
2012,14,Singapore Grand Prix,22,18,SEN,Bruno,Senna,Brazilian,0,Retired,,Williams
2012,14,Singapore Grand Prix,18,19,PET,Vitaly,Petrov,Russian,0,+2 Laps,,Caterham
2012,14,Singapore Grand Prix,16,20,VER,Jean-Éric,Vergne,French,0,Collision,,Toro Rosso
2012,14,Singapore Grand Prix,9,21,MSC,Michael,Schumacher,German,0,Collision,,Mercedes
2012,14,Singapore Grand Prix,2,22,MAL,Pastor,Maldonado,Venezuelan,0,Hydraulics,,Williams
2012,14,Singapore Grand Prix,23,23,KAR,Narain,Karthikeyan,Indian,0,Accident,,HRT
2012,14,Singapore Grand Prix,1,24,HAM,Lewis,Hamilton,British,0,Gearbox,,McLaren
