Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2012,15,Japanese Grand Prix,1,1,VET,Sebastian,Vettel,German,25,Finished,1:28:56.242,Red Bull
2012,15,Japanese Grand Prix,10,2,MAS,Felipe,Massa,Brazilian,18,Finished,+20.639,Ferrari
2012,15,Japanese Grand Prix,3,3,KOB,Kamui,Kobayashi,Japanese,15,Finished,+24.538,Sauber
2012,15,Japanese Grand Prix,8,4,BUT,Jenson,Button,British,12,Finished,+25.098,McLaren
2012,15,Japanese Grand Prix,9,5,HAM,Lewis,Hamilton,British,10,Finished,+46.490,McLaren
2012,15,Japanese Grand Prix,7,6,RAI,Kimi,Räikkönen,Finnish,8,Finished,+50.424,Lotus F1
2012,15,Japanese Grand Prix,15,7,HUL,Nico,Hülkenberg,German,6,Finished,+51.159,Force India
2012,15,Japanese Grand Prix,12,8,MAL,Pastor,Maldonado,Venezuelan,4,Finished,+52.364,Williams
2012,15,Japanese Grand Prix,2,9,WEB,Mark,Webber,Australian,2,Finished,+54.675,Red Bull
2012,15,Japanese Grand Prix,14,10,RIC,Daniel,Ricciardo,Australian,1,Finished,+66.919,Toro Rosso
2012,15,Japanese Grand Prix,23,11,MSC,Michael,Schumacher,German,0,Finished,+67.769,Mercedes
2012,15,Japanese Grand Prix,11,12,DIR,Paul,di Resta,British,0,Finished,+83.460,Force India
2012,15,Japanese Grand Prix,19,13,VER,Jean-Éric,Vergne,French,0,Finished,+88.645,Toro Rosso
2012,15,Japanese Grand Prix,16,14,SEN,Bruno,Senna,Brazilian,0,Finished,+88.709,Williams
2012,15,Japanese Grand Prix,17,15,KOV,Heikki,Kovalainen,Finnish,0,+1 Lap,,Caterham
2012,15,Japanese Grand Prix,18,16,GLO,Timo,Glock,German,0,+1 Lap,,Marussia
2012,15,Japanese Grand Prix,22,17,PET,Vitaly,Petrov,Russian,0,+1 Lap,,Caterham
2012,15,Japanese Grand Prix,20,18,DLR,Pedro,de la Rosa,Spanish,0,+1 Lap,,HRT
2012,15,Japanese Grand Prix,4,19,GRO,Romain,Grosjean,French,0,+2 Laps,,Lotus F1
2012,15,Japanese Grand Prix,21,20,PIC,Charles,Pic,French,0,Engine,,Marussia
2012,15,Japanese Grand Prix,24,21,KAR,Narain,Karthikeyan,Indian,0,Vibrations,,HRT
2012,15,Japanese Grand Prix,5,22,PER,Sergio,Pérez,Mexican,0,Spun off,,Sauber
2012,15,Japanese Grand Prix,6,23,ALO,Fernando,Alonso,Spanish,0,Collision,,Ferrari
2012,15,Japanese Grand Prix,13,24,ROS,Nico,Rosberg,German,0,Collision,,Mercedes
